SB_DEPTH_cm,hiresMS
1,0.3
2,4.1
3,6.3
4,26.8
5,43.7
6,37.7
7,10
8,7
9,5.9
10,14.3
11,28.5
12,25.9
13,30.6
14,44.6
15,52.6
16,44
17,46.3
18,51.4
19,55.2
20,52
21,56.9
22,55.8
23,54.3
24,55.2
25,49.2
26,55.2
27,70.8
28,65.7
29,28.5
30,2.3
31,0.6
32,2.1
33,39.9
34,44.9
35,48.6
36,48.9
37,52
38,45.3
39,44.9
40,49.2
41,41.7
42,48.2
43,45.8
44,45.9
45,49.4
46,52.4
47,52.9
48,51.2
49,52.3
50,54.5
51,44.1
52,40.4
53,41.9
54,43
55,36.5
56,41.8
57,41.5
58,46.9
59,45
60,34.4
61,26.3
62,28.1
63,29.8
66,22.2
67,30.5
68,62.9
69,61.3
70,56.6
71,49.4
72,48.2
73,3.3
74,2.5
75,2.5
76,7.9
77,40.4
78,35.8
79,23.8
80,35.8
81,37.4
82,35.5
83,32
84,31.5
85,29.4
86,31.9
87,31.4
88,29.1
89,27.2
90,26
91,27.2
92,21.3
93,28.7
94,29.4
95,28.3
96,28.8
97,30.5
98,28.9
99,25.6
100,27.7
101,29.9
102,34.7
103,33.6
104,20.9
105,21.6
106,36.9
107,25.6
108,76.2
109,149.2
110,84.6
111,57.1
112,2.2
113,6.4
114,3.2
115,14.7
116,26.1
117,24.9
118,25
119,34.6
120,38.1
121,33
122,36.3
123,33.1
124,30.7
125,25.9
126,26.1
127,31.4
128,11.9
129,27.8
130,27.6
131,32.7
132,32.2
133,32.3
134,31.5
135,31.5
136,30.4
137,33
138,33.2
139,33.3
140,32.2
141,34.1
142,29.3
143,33.1
144,42.1
145,44.6
146,46.9
147,42.7
148,55.8
149,81.8
150,64.1
151,110.1
152,207.3
153,140.4
154,96.3
155,6.7
156,1.3
157,1.8
158,1
159,47.2
160,57.3
161,61.8
162,57.6
163,54.8
164,61.6
165,56.6
166,59.4
167,57.2
168,60.5
169,54.5
170,58.1
171,63.5
172,63.1
173,52.7
174,60.7
175,57.5
176,58.4
177,56.2
178,49.6
179,45.3
180,55.6
181,58.5
182,53.2
183,58.3
184,55.1
185,56.2
186,58.3
187,61.3
188,66.2
189,70.3
190,76.1
191,65.2
192,84.9
193,78.8
194,113.1
195,106.4
196,96.4
197,88.3
198,68.8
199,159.9
200,174.4
201,142.5
202,152
203,132.8
204,124.9
205,99.7
206,101.5
207,68.8
208,47
209,32.9
210,7.2
211,8.4
212,36.6
213,28.2
214,47.6
218,25.5
219,31.8
220,24.1
221,24.6
222,44.6
223,48.3
224,49.7
225,56.3
226,53.2
227,59.2
228,59.1
229,59.6
230,56.6
231,41
232,49.1
233,46.6
234,39.9
235,46.6
236,32.6
237,41.8
238,37.2
239,34.2
240,34.4
241,47.2
242,54.8
243,45.4
244,52.8
245,56.7
246,56.8
247,51.9
248,75.4
249,58.9
250,84.4
251,137.8
252,194.4
253,102.9
254,118.3
255,158.4
256,101.3
257,79.2
258,85.6
259,93.2
260,34.9
261,6
262,1.6
263,3
264,1.3
265,37.8
266,28.4
267,38.6
268,47.5
269,48.8
270,46.7
271,49.2
272,52.9
273,48.2
274,50.2
275,51.6
276,52.4
277,51.7
278,48.4
279,44.8
280,47
281,42.7
282,44.9
283,45.7
284,50.6
285,44.5
286,45.3
287,25.3
288,23.4
289,32.9
290,56.4
291,49.8
292,51.7
293,40.3
294,46.6
295,43.8
296,37.7
297,46.9
298,50.5
299,50.6
300,44.7
301,77.6
302,130.6
303,132.1
304,81.1
305,84.9
306,123.8
307,63.4
308,108.1
309,110.6
310,138.9
311,123.3
312,158.9
313,169.7
314,155.7
315,181.9
316,389.5
317,201.5
318,86.3
319,34.9
320,34.1
321,38.5
322,40.5
323,38.4
324,38.7
325,44.3
326,38.9
327,41
328,47
329,44.7
330,46.3
331,51.4
332,56.2
333,50.6
334,46.4
335,35.9
336,26.7
337,44.8
338,40.1
339,31.6
340,20.7
341,27.9
342,24.4
343,11.6
344,12.4
345,39.6
346,41.6
347,44
348,48.1
349,51
350,50.2
351,49.4
352,48.7
353,53.1
354,48.9
355,47.4
356,43.9
357,57.8
358,51.6
359,101.7
360,111.2
361,109.7
362,135.8
363,134.9
364,89.7
365,88.9
366,90
370,66.1
371,79.7
372,82.6
373,186.5
374,199.2
375,96.4
376,30.9
377,2.7
378,2.9
379,4.6
380,4.2
381,1.8
382,26.4
383,28.7
384,31.5
385,39.8
386,40.5
387,34.6
388,40.2
389,41.3
390,42.3
391,41.1
392,40.5
393,28.6
394,19.7
395,39.4
396,40.1
397,36.9
398,38.3
399,35.2
400,35.8
401,35.7
402,32.6
403,33.4
404,30.2
405,21.8
406,22.8
407,27
408,20.5
409,30.3
410,32.5
411,44.8
412,41.1
413,40.9
414,40.9
415,49.5
416,52.3
417,51.3
418,71.8
419,88.9
420,148.1
421,97.2
422,128.6
423,117.3
424,65.9
425,16
426,2.6
427,9.3
428,9
429,9.1
430,8.2
431,14.5
432,20.7
433,22.1
434,24.8
435,24.9
436,29.3
437,31.8
438,27.1
439,27.9
440,33
