picked_depths_cm,est_age,est_age_poserr,est_age_negerr
0.0,0.0,100.0,100.0
5.826183097,321.9159583019014,185.418147267858,193.91462197717064
12.69136108,701.2398333872092,179.54716326628318,188.24246696418152
27.3370741,1510.464099661231,168.8471837436441,179.35124438265325
59.6034106,3293.286311451586,160.57670963589362,179.84014189555728
87.52180104,4835.870068794708,164.04116239084578,191.6292820055569
98.73492508,5455.432398161489,167.50116109196915,198.97896302146546
104.9135853,5796.823887688707,169.67623144231402,204.20150122732775
116.8132271,6454.318602447818,173.8800513900742,214.49800957508523
128.0263511,7073.8809296044665,178.21081436547684,224.59900492707857
144.5027783,7984.25823206354,189.0470586268575,242.27573209807542
153.6563489,8490.023396412806,195.50540676812852,252.8993802853347
162.1234017,8957.856173159607,201.91075504607397,263.58264164441425
177.6844718,9817.656956973624,215.31418945098994,284.5419423270323
189.3552744,10462.507546215467,227.83953110807306,302.50043567434295
199.6530414,11031.493360252389,239.6172181056554,318.2894890824027
210.4084869,11625.767430849175,253.21699563087896,335.5565157672845
217.0448256,11992.44717583119,261.57269242211623,345.4884772958321
230.5463423,12738.450796837818,279.5235642660373,367.20539683629613
249.9976799,13813.201775224006,307.3332650772081,400.1102474209347
264.6433929,14622.42604039296,329.21281850142987,426.29320697955336
277.4583918,15330.497273797131,349.3731105231782,450.1156219952536
307.8940142,17012.166453822698,396.03299149465965,507.7614335307444
335.1258868,18516.817821353226,438.05776092315136,558.7198847941618
353.6618674,19540.992286619683,468.37964649349306,593.9416044395584
371.2824908,20514.59022771575,497.01782029584865,627.3988362850578
387.0724002,21387.035142572364,522.609098369092,656.8612014101855
397.3701671,21956.020951083956,540.1188408031339,676.4264671649507
409.0409697,22600.871540325796,560.1625477643393,698.0952929252308
439.0,24256.207424600736,608.6988348689338,756.3497001912256
