picked_depths_cm,category,interpreted_bed
2.909834926,1,T01
48.13231559,1,T02
110.7799723,1,T03
170.1085478,1,T04
243.9581034,1,T05
309.5099561,1,T06
377.5511197,1,T07
428.2522221,1,T08
475.4640136,1,T09
507.9739063,1,T10
587.4830024,1,T11
615.7696179,1,T12
638.5138751,1,T13
662.332558,1,T14
685.3214706,1,T15
717.3420524,1,T16
739.7458502,1,T17
769.7878102,1,T18
44.96541649,2,T02
98.2949264,2,T03
167.1315988,2,T04
235.9682712,2,T05
301.4009323,2,T06
371.3722751,2,T07
422.8106676,2,T08
468.575708,2,T09
505.2633851,2,T10
557.4582246,2,T11
610.0312875,2,T12
633.1029195,2,T13
655.039881,2,T14
681.1373008,2,T15
704.5871562,2,T16
734.4668107,2,T17
6.008398602,3,T02
55.55567377,3,T03
113.0456419,3,T04
178.1000795,3,T05
249.9625397,3,T06
314.2605304,3,T07
384.9883201,3,T08
434.9138188,3,T09
485.9739879,3,T10
520.0141006,3,T11
590.3636668,3,T12
619.4868744,3,T13
642.1802829,3,T14
667.1430322,3,T15
689.4582172,3,T16
720.4725421,3,T17
743.9223975,3,T18
779.0971807,3,
