picked_depths_cm,category,interpreted_bed
29.62770108,1,T01
81.04964565,1,T02
109.6173926,1,T03
154.4690131,1,T04
210.0126177,1,T05
259.3940089,1,T06
316.7538349,1,T07
375.2974395,1,T08
426.7193841,1,T09
461.2250125,1,T10
530.7876052,1,T11
556.9066882,1,T12
586.2906565,1,T13
617.3070675,1,T14
639.7531544,1,
655.0370279,1,T15
709.3157472,1,T16
746.5633981,1,T17
753.207921,1,T17a
26.1256148,2,T01
76.85031587,2,T02
105.5207991,2,T03
149.6292348,2,T04
198.8836547,2,T05
250.3434963,2,T06
300.3330568,2,T07
359.5118747,2,T08
417.955552,2,T09
458.0207145,2,T10
513.5238294,2,T11
554.6917027,2,T12
583.362186,2,T13
614.9732315,2,T14
632.9841761,2,
652.3555844,2,T15
688.4872911,2,T16
738.8444218,2,T17
751.1812697,2,T17a
36.05001284,3,T02
82.73144063,3,T03
118.3857595,3,T04
161.7590546,3,T05
219.8351616,3,T06
267.9868706,3,T07
323.1224153,3,T08
385.9769361,3,T09
435.5989263,3,T10
472.7235264,3,T11
534.4753364,3,T12
562.410679,3,T13
591.4487325,3,T14
621.5894969,3,
643.2761445,3,T15
660.1843782,3,T16
712.3793604,3,T17
749.1394167,3,T17a
771.5581783,3,
