picked_depths_cm,est_age,est_age_poserr,est_age_negerr
0.0,0.0,100.0,100.0
29.62770108,316.40698387379297,162.7488511086263,160.7851143162247
81.04964565,865.564083251382,127.37392284304451,127.45317132837374
109.6173926,1170.6513603273952,124.83724802344705,125.23980715824973
154.4690131,1649.641138371186,145.90681439167088,141.87666521255414
210.0126177,2411.7234492244474,135.95465806325637,131.73381688263044
259.3940089,3094.866743188743,136.15928211045912,130.08734943521495
316.7538349,3888.3838864412564,139.80932139436482,133.95109052923044
375.2974395,4698.277449889247,146.8692656477142,142.5933415761665
426.7193841,5409.64980620499,158.1578302069438,152.49985753132114
461.2250125,5887.0014577616175,167.25468949458354,162.63823044430865
530.7876052,6849.331954310583,197.2543161682288,191.94165296746633
556.9066882,6925.9416645676265,183.75326483319532,163.04123679086297
586.2906565,7246.858129131591,142.417226750782,167.98977003306118
617.3070675,7605.74701821333,382.7781307220912,455.7469508962531
639.7531544,7865.469240483764,581.847592819262,690.6735821646653
655.0370279,8042.317953936808,717.1691368590164,850.5675222842838
709.3157472,8670.373510408397,1197.0577561291375,1422.050155411799
746.5633981,9101.36367404807,1528.8423455538177,1814.4435451507352
753.207921,9178.247019515062,1588.3579650684442,1885.3942776474469
783.49744,9528.72508819716,1859.8527689667953,2206.4636104775127
