picked_depths_cm,est_age,est_age_poserr,est_age_negerr
0.0,0.0,75.0,75.0
2.909834926,27.712717492686078,145.80484215119426,147.91089667392552
48.13231559,458.4030703240242,129.0547219042066,133.1533693151137
110.7799723,1055.047504161234,118.95145562348739,121.89252591892512
170.1085478,1620.0816362984592,125.14404549644405,126.71055538729183
243.9581034,2323.410836527879,146.78257982694595,146.3540418320972
309.5099561,2947.7142836978137,179.92570750618597,178.51170969917303
377.5511197,3471.9486553170545,158.26975523890087,161.55590497170624
428.2522221,3860.5045144750734,199.60667203336288,205.79224485098348
475.4640136,4613.662859563378,182.57353722879452,205.68661578230513
507.9739063,5252.2859677540555,168.25374282948997,210.4257715778822
587.4830024,6457.248719879503,167.379054712158,158.6117844176806
615.7696179,6883.401698417843,202.93619472253613,173.8515387662328
638.5138751,7268.411122997677,140.0914582047062,140.62063331662102
662.332558,8021.13079909217,160.08371514240298,140.8954560015709
685.3214706,8462.595485007847,159.12280871390976,139.7138012404921
717.3420524,8949.286016265401,132.28235204590237,139.97367405795922
739.7458502,9286.42739542409,149.06058337161085,181.50821950074715
769.7878102,10066.205659018253,161.3010143609663,208.15879371528172
797.05054,10789.473902854541,402.1717281849851,457.7848507261406
