SB_DEPTH_cm,SECT_NUM_cm,SECT_DEPTH_cm,CORE_THICK_cm,PWAmp,PWVel_m/s,Den_gm/cc,MS,Imp,FP
0.99872446,1.0,1.0,11.396,14.0,1072.2864990234375,1.2116658687591553,23.525686264038086,,
1.4987245,1.0,1.5006386,11.3934965,10.49553,1071.964599609375,1.2160708904266357,23.002845764160156,,
1.9987245,1.0,2.0012772,11.390973,7.007663,1071.925048828125,1.174684,20.345176696777344,,0.9137093
2.4987245,1.0,2.5019157,11.38046,10.011495,1071.934326171875,1.168426,20.857833862304688,,0.917364
2.9987245,1.0,3.0025544,11.36944,13.0,1071.884765625,1.1622357,16.003725,1278.6011,0.9209791
3.4987245,1.0,3.503193,11.259801,13.0,1072.447265625,1.1692446,17.321756,1273.5342,0.9168738
3.9987245,1.0,4.0038314,11.150816,13.011495,1072.577880859375,1.1761694,18.631075,1268.4521,0.912818
4.4987245,1.0,4.50447,11.126785,14.513411,1072.3011474609375,1.1721643,18.810856,1261.4152,0.915171
4.9987245,1.0,5.005109,11.102928,16.020435,1072.299560546875,1.168272,18.991306,1254.519,0.9174581
5.4987245,1.0,5.5057473,11.09592,18.02299,1072.4501953125,1.175331,19.23692,1261.2877,0.9133529
5.9987245,1.0,6.006386,11.089006,19.987228,1072.4409,1.1823281,19.478909,1268.0048,0.90928406
6.4987245,1.0,6.5070243,11.089507,18.98595,1072.7493,1.1845309,19.440258,1270.7323,0.9080324
6.9987245,1.0,7.007663,11.09,17.992336,1073.053,1.1865567,19.409624,1273.2637,0.9068835
7.4987245,1.0,7.5083017,11.09,17.4917,1073.053,1.1771947,19.894644,1263.1843,0.91234046
7.9987245,1.0,8.00894,11.090009,17.00894,1073.0492,1.1679562,20.377615,1253.2338,0.917725
8.498724,1.0,8.509579,11.090509,17.509579,1072.8374,1.165503,20.748037,1250.3662,0.9191268
8.998724,1.0,9.010218,11.09101,17.979565,1072.6364,1.1631726,21.116228,1247.6427,0.92045707
9.498724,1.0,9.510857,11.091511,16.978287,1072.9447,1.1667271,21.37721,1251.8411,0.9183544
9.998724,1.0,10.011495,11.092023,16.02299,1073.2303,1.1700482,21.642525,1255.762,0.9163885
10.498724,1.0,10.512133,11.093024,17.024265,1072.5485,1.1634399,22.092197,1247.8795,0.92024344
10.998724,1.0,11.012772,11.094026,18.012772,1071.9064,1.1571379,22.544353,1240.372,0.92391956
11.498724,1.0,11.51341,11.095027,18.51341,1072.782,1.1625447,23.09135,1247.1902,0.9207655
11.998724,1.0,12.014049,11.096014,18.943804,1073.6417,1.1680149,23.627716,1254.0582,0.9175764
12.498724,1.0,12.514688,11.096515,16.94125,1073.9506,1.1756747,23.795832,1262.6542,0.91317075
12.998724,1.0,13.0153265,11.097031,15.061306,1074.237,1.1835169,23.969753,1271.4194,0.90865785
13.498724,1.0,13.5159645,11.098032,17.06386,1073.8135,1.1971343,24.32756,1285.5409,0.9007478
13.998724,1.0,14.016603,11.099033,19.0,1073.39,1.2103033,24.694246,1299.1792,0.89309835
14.498724,1.0,14.5172415,11.100035,19.0,1072.9675,1.2104034,25.319794,1298.7332,0.8930483
14.998724,1.0,15.0178795,11.100965,18.94636,1072.5659,1.2105,25.945839,1298.3109,0.893
15.498724,1.0,15.518518,11.099963,17.444445,1072.7285,1.2105,26.585304,1298.5343,0.893
15.998724,1.0,16.019157,11.099038,16.0,1072.8689,1.2105613,27.210749,1298.7948,0.8929636
16.498724,1.0,16.519796,11.1000395,16.0,1072.4468,1.2121633,27.483797,1299.9918,0.89201236
16.998724,1.0,17.020435,11.101061,16.102177,1072.0691,1.21332,27.767157,1300.7651,0.8913207
17.498724,1.0,17.521074,11.102563,18.60537,1072.7335,1.204008,28.292776,1291.5798,0.89672756
17.998724,1.0,18.021713,11.104,20.891436,1073.369,1.1955602,28.812029,1283.2861,0.9016329
18.498724,1.0,18.52235,11.104,18.388247,1073.369,1.2061738,29.190811,1294.6576,0.8954751
18.998724,1.0,19.02299,11.103931,16.068966,1073.3743,1.2167621,29.54168,1306.0089,0.8893333
19.498724,1.0,19.523628,11.102429,17.570883,1073.4889,1.2268249,29.312536,1316.9409,0.8835259
19.998724,1.0,20.024265,11.101024,18.975735,1073.5626,1.2361233,29.11599,1327.005,0.87815773
20.498724,1.0,20.524904,11.101525,18.475096,1072.8322,1.230416,29.559357,1320.0327,0.8814119
20.998724,1.0,21.025543,11.102,18.025543,1072.1259,1.2249846,30.012457,1313.3811,0.8845102
21.498724,1.0,21.526182,11.102,18.526182,1071.867,1.2246844,30.646614,1312.6957,0.8847105
21.998724,1.0,22.02682,11.101974,18.946362,1071.6471,1.2245502,31.27657,1312.2391,0.88481414
22.498724,1.0,22.527458,11.101473,17.945084,1072.1168,1.2273538,31.83228,1315.8268,0.8832121
22.998724,1.0,23.028097,11.100916,17.056194,1072.5519,1.2300168,32.40946,1319.2234,0.8816887
23.498724,1.0,23.528736,11.099414,18.057472,1072.4072,1.2303172,33.347755,1319.4081,0.8814885
23.998724,1.0,24.029375,11.097676,18.8825,1072.2397,1.2307645,34.13806,1319.7179,0.881206
24.498724,1.0,24.530014,11.09217,16.879946,1071.7076,1.2335681,32.554142,1322.0333,0.8796039
24.998724,1.0,25.030653,11.087306,15.12261,1071.2377,1.236715,31.239452,1324.7955,0.8777996
25.498724,1.0,25.531292,11.092313,17.125166,1071.7212,1.2451257,34.05279,1334.4072,0.87289333
25.998724,1.0,26.03193,11.096969,18.87228,1072.1709,1.2534056,36.75251,1343.8391,0.86806375
26.498724,1.0,26.532568,11.096467,16.869728,1072.1223,1.2597636,37.784374,1350.6302,0.864359
26.998724,1.0,27.033205,11.095901,15.099618,1072.0674,1.2682037,38.7524,1359.6403,0.8594489
27.498724,1.0,27.533844,11.0943985,16.601534,1071.9222,1.3059518,38.82179,1399.8851,0.83757097
27.998724,1.0,28.034483,11.093035,18.0,1071.826,1.3390102,39.032055,1435.1696,0.81841385
28.498724,1.0,28.535122,11.093535,18.0,1072.3938,1.3086716,41.1467,1403.3959,0.8360363
28.998724,1.0,29.03576,11.093928,17.96424,1072.9141,1.2788229,43.214294,1372.0814,0.8533727
29.498724,1.0,29.5364,11.092927,17.4636,1072.817,1.255343,44.6702,1346.7352,0.86699003
29.998724,1.0,30.037037,11.091963,17.037037,1072.7042,1.2332001,46.103504,1322.81,0.87982965
30.498724,1.0,30.537676,11.091462,17.537676,1072.3964,1.2277931,47.253925,1316.6743,0.88293356
30.998724,1.0,31.038315,11.091,18.0,1072.112,1.2224475,48.37882,1310.6292,0.8860069
31.498724,1.0,31.538954,11.091,18.0,1072.112,1.2178416,49.19571,1305.6788,0.8887104
31.998724,1.0,32.039593,11.09104,18.039593,1072.0748,1.2139405,50.008133,1301.4396,0.89100206
32.498726,1.0,32.54023,11.09154,18.54023,1071.6047,1.218246,50.7685,1305.4802,0.88849884
32.998726,1.0,33.040867,11.092,18.877396,1071.0886,1.222813,51.492016,1309.7423,0.88584447
33.498726,1.0,33.541508,11.092,17.375477,1070.0548,1.2303226,51.80091,1316.4955,0.88148886
33.998726,1.0,34.04215,11.092042,16.210737,1069.2646,1.2370272,52.116726,1322.6891,0.87760115
34.498726,1.0,34.542786,11.092543,18.713926,1071.125,1.2349746,52.507824,1322.7957,0.87880266
34.998726,1.0,35.043423,11.093087,20.782883,1072.8098,1.2357619,52.67805,1325.7295,0.87835413
35.498726,1.0,35.544064,11.094089,18.279684,1072.6472,1.2664511,50.522644,1358.4327,0.86053133
35.998726,1.0,36.044704,11.095045,15.68708,1072.573,1.2948202,48.412037,1388.7657,0.8440541
