SB_DEPTH_cm,SB_DEPTH_pxl,R,R_std,G,G_std,B,B_std,Lumin,Lumin_std
0.05070915,5.0,,,,,,,127.2845687866211,
0.5507091,54.300766,,,,,,,127.2845687866211,
1.0507091,103.60153,111.01232,7.914046,105.42565,7.96666,80.85286,7.4021244,104.839226,7.8385305
1.5507091,152.9023,120.995766,5.1419353,116.01245,4.869926,92.37719,5.156285,115.36544,4.8387218
2.0507092,202.20308,118.622826,5.499101,113.5603,5.256114,88.59312,5.087317,112.83396,5.2029305
2.5507092,251.50385,118.52286,7.5199776,113.576126,7.055552,87.57905,6.5386105,112.75081,7.0307264
3.0507092,300.8046,118.06998,7.9688706,113.96116,7.9106545,89.686516,8.147036,113.08207,7.8429933
3.5507092,350.10538,112.59566,6.3115344,108.13063,5.8695207,82.77193,6.0753484,107.249,5.8550997
4.0507092,399.40613,112.91475,5.4625764,109.074394,4.9428763,83.95748,5.2412825,108.077415,4.932101
4.5507092,448.70688,115.55862,5.900641,112.07289,5.2632117,87.07923,5.3695483,111.009415,5.2615237
5.0507092,498.00766,113.87328,5.78436,110.38824,5.2755513,85.467224,5.416996,109.32986,5.269867
5.5507092,547.3084,110.63161,5.4592695,107.53124,5.0407495,84.71507,4.7013206,106.54305,4.9631357
6.0507092,596.6092,115.62825,4.8137755,112.878204,4.150489,88.44047,4.5827274,111.698456,4.171747
6.5507092,645.91,118.75854,5.9640565,116.0168,5.4995,91.73221,5.9970427,114.84635,5.5103393
7.0507092,695.2107,111.055916,6.1829176,107.34639,5.936883,83.34976,6.148992,106.40248,5.878911
7.5507092,744.5115,114.83665,4.5718737,111.83154,3.7312536,87.45503,4.0853972,110.71045,3.7883024
8.050709,793.8123,107.66396,7.492372,103.94548,7.3866796,79.8176,7.145026,102.993996,7.30853
8.550709,843.11304,114.75696,6.1247153,111.34916,5.6496496,85.869194,5.9350367,110.234,5.6609397
9.050709,892.4138,108.76702,6.7450757,104.89562,6.258584,79.55482,6.4205837,103.88908,6.270431
9.550709,941.71454,108.9749,7.2287316,105.21804,6.794906,79.08543,6.557033,104.129974,6.773071
10.050709,991.0153,99.73952,8.259281,95.30687,8.019254,68.56244,7.534993,94.318306,7.952407
10.550709,1040.316,109.66408,9.75685,106.03563,9.982519,80.920784,9.918663,104.993744,9.857958
11.050709,1089.6168,118.62806,13.811959,114.69865,14.419717,87.92385,13.305678,113.6009,14.156152
11.550709,1138.9176,121.152145,11.130992,116.47491,11.355591,92.236725,11.038756,115.71929,11.223851
12.050709,1188.2184,123.85445,9.673767,118.99357,9.501779,95.57607,10.011637,118.33625,9.503296
12.550709,1237.5192,132.10152,6.4169326,128.85086,6.271446,105.78496,7.0615764,127.87659,6.2640877
13.050709,1286.82,131.19234,6.3885,127.99674,6.1372523,102.88532,6.549558,126.86308,6.1109347
13.550709,1336.1207,130.39218,5.3568473,126.93365,4.9178777,102.01144,5.669963,125.869545,4.947139
14.050709,1385.4215,133.92776,7.4712806,130.06038,6.789204,103.332664,6.3016496,128.95284,6.7831893
14.550709,1434.7223,142.63628,7.771477,138.88428,7.3346114,109.20258,5.811712,137.53893,7.1895156
15.050709,1484.0231,134.14192,5.978124,130.04759,5.388373,102.20364,5.0555634,128.90771,5.3560376
15.550709,1533.3237,137.96098,5.9346533,133.55139,5.361104,104.76314,4.908045,132.41035,5.322679
16.050709,1582.6245,133.85939,5.209302,129.87111,4.548845,101.98202,4.577393,128.70543,4.5507855
16.550709,1631.9253,151.76465,7.401707,147.00327,6.544353,112.559906,4.972937,145.52872,6.4626145
17.050709,1681.2261,134.45392,5.268419,130.06862,4.6048307,100.93931,4.9147763,128.8978,4.610083
17.550709,1730.5269,138.84499,6.724717,134.361,6.1085625,101.8849,5.38145,132.96951,6.064183
18.050709,1779.8276,130.33244,4.621675,125.517075,3.9651427,96.47345,4.204778,124.44387,3.9647882
18.550709,1829.1283,138.73831,6.663871,133.6499,6.09499,100.79659,5.188321,132.3597,6.001378
19.050709,1878.4291,140.53418,7.278781,135.38649,6.9631906,103.28884,5.2735243,134.16344,6.795443
19.550709,1927.7299,146.9637,8.253851,141.00137,7.861408,106.681656,5.8562956,139.79108,7.697424
20.050709,1977.0306,139.17221,6.861472,134.01653,6.375444,102.00752,5.1108313,132.80157,6.2666597
20.550709,2026.3314,139.24263,6.720697,134.36919,6.411104,103.88749,5.760433,133.2045,6.3066473
21.050709,2075.632,139.45963,6.4969373,135.35254,5.833497,105.15882,5.6887703,134.04573,5.8354855
21.550709,2124.9329,150.78564,8.4867,146.09798,7.677404,111.321465,5.9807177,144.58371,7.5974083
22.050709,2174.2336,136.00125,4.9330673,132.08827,4.5097384,103.243576,4.968727,130.83759,4.4840274
22.550709,2223.5344,139.09116,6.3540444,135.45914,5.673648,105.64143,4.762338,134.07845,5.6056943
23.050709,2272.8352,136.70093,4.13622,133.25777,3.5110364,104.69702,4.064745,131.92769,3.4992516
23.550709,2322.136,139.68451,6.1350956,136.43628,5.583069,106.48126,4.607554,134.9641,5.4882655
24.050709,2371.4368,136.27759,4.0089254,132.95995,3.2397308,104.54299,3.6692,131.61357,3.249306
24.550709,2420.7375,139.6136,6.4867606,136.2362,5.822011,105.7279,4.992807,134.75154,5.7801485
25.050709,2470.0383,142.80896,9.146823,138.50043,8.536564,107.05046,6.237803,137.14574,8.407175
25.550709,2519.339,135.50624,6.2861557,131.73566,5.6745987,102.3447,5.0622993,130.41527,5.62726
26.050709,2568.64,141.73215,7.685813,138.2835,7.0216265,107.30454,5.7924643,136.78,6.9557743
26.550709,2617.9407,147.01704,9.574016,143.02228,9.041388,110.78335,7.158914,141.54391,8.935076
27.050709,2667.2415,136.83566,6.7654314,133.11159,5.9900303,104.25682,5.2458076,131.82,5.9801326
27.550709,2716.5422,144.72203,8.683635,140.7472,7.885321,107.72973,6.195792,139.20837,7.8128085
28.050709,2765.843,,,,,,,135.76312255859375,
28.550709,2815.1438,,,,,,,136.13511657714844,
29.050709,2864.4446,,,,,,,137.62466430664062,
29.550709,2913.7454,,,,,,,137.48239135742188,
30.050709,2963.046,,,,,,,139.13162231445312,
30.550709,3012.3467,,,,,,,140.1857147216797,
31.050709,3061.6475,,,,,,,141.41458129882812,
31.550709,3110.9482,,,,,,,140.64541625976562,
32.05071,3160.249,,,,,,,140.3994903564453,
32.55071,3209.5498,,,,,,,140.56158447265625,
33.05071,3258.8506,,,,,,,141.27023315429688,
33.55071,3308.1514,,,,,,,136.7412872314453,
