SB_DEPTH_cm,SB_DEPTH_pxl,CT,CT_std
0.0,0.0,584.630126953125,
0.5,49.30013,582.39306640625,
1.0,98.60026,506.66644,33.39031
1.5,147.90039,513.946,49.273632
2.0,197.20052,513.54047,44.041786
2.5,246.50064,519.2536,36.9006
3.0,295.80078,513.76086,34.454838
3.5,345.1009,500.81595,33.46993
4.0,394.40103,498.64148,31.467466
4.5,443.70117,498.57797,37.59792
5.0,493.00128,496.45978,28.174816
5.5,542.3014,489.85464,20.452948
6.0,591.60156,489.18716,16.803247
6.5,640.9017,487.0332,20.148012
7.0,690.2018,477.06165,20.12086
7.5,739.5019,489.66547,19.86235
8.0,788.80206,491.76318,21.060608
8.5,838.10223,481.18265,25.569118
9.0,887.4023,475.1803,26.946451
9.5,936.7024,480.63293,33.391735
10.0,986.00256,480.52408,35.73161
10.5,1035.3027,480.8977,27.871778
11.0,1084.6028,480.9666,23.240013
11.5,1133.903,474.85428,22.08563
12.0,1183.2031,466.07422,25.038773
12.5,1232.5032,468.04855,32.2641
13.0,1281.8033,466.84326,23.145477
13.5,1331.1034,470.13367,23.362926
14.0,1380.4036,473.4993,28.279783
14.5,1429.7037,473.83566,37.301968
15.0,1479.0039,473.4522,49.439922
15.5,1528.304,479.8226,30.391901
16.0,1577.6041,472.23505,37.667606
16.5,1626.9043,488.62778,28.339462
17.0,1676.2043,469.20813,23.880398
17.5,1725.5044,465.0017,26.333076
18.0,1774.8046,476.5441,29.804844
18.5,1824.1047,476.23392,30.752394
19.0,1873.4049,493.25333,32.68003
19.5,1922.705,489.85907,22.05163
20.0,1972.0051,466.9764,27.695902
20.5,2021.3053,468.23694,29.34378
21.0,2070.6055,467.22934,22.36398
21.5,2119.9055,468.92715,25.094032
22.0,2169.2056,480.01154,26.930756
22.5,2218.5056,510.448,39.270676
23.0,2267.806,510.53656,41.031708
23.5,2317.106,503.51047,30.981325
24.0,2366.4062,507.0791,39.3509
24.5,2415.7063,507.97867,30.621542
25.0,2465.0063,528.8905,31.360142
25.5,2514.3066,527.4992,35.11725
26.0,2563.6067,572.6842,40.18041
26.5,2612.9067,530.4387,37.808163
27.0,2662.2068,542.2692,38.217903
27.5,2711.507,602.50964,67.80118
28.0,2760.8071,702.1035,159.29785
28.5,2810.1072,617.79895,291.32816
29.0,2859.4075,585.2236328125,
29.5,2908.7075,579.4932861328125,
30.0,2958.0078,572.9425659179688,
30.5,3007.3079,577.2672119140625,
31.0,3056.608,569.6480102539062,
31.5,3105.908,570.5992431640625,
32.0,3155.2083,570.4346923828125,
32.5,3204.5083,563.616455078125,
33.0,3253.8086,560.9962158203125,
33.5,3303.1086,541.21265,28.42357
34.0,3352.4087,555.4954,103.399315
34.5,3401.7087,594.29895,208.24321
35.0,3451.009,642.1504,303.7886
35.5,3500.309,634.12427,316.29816
36.0,3549.6091,623.5357,307.84393
36.5,3598.9094,587.2984,247.12251
37.0,3648.2095,542.88,113.69352
37.5,3697.5095,535.8867,101.23391
38.0,3746.8098,518.6166,82.94982
38.5,3796.1099,508.82803,54.312073
39.0,3845.41,503.04242,48.6356
39.5,3894.71,492.2238,30.490553
40.0,3944.0103,489.74237,22.878336
40.5,3993.3103,485.06238,30.636158
41.0,4042.6104,488.87866,22.411299
41.5,4091.9104,487.6249,31.932854
42.0,4141.2104,486.14905,35.975723
42.5,4190.5107,468.1138,24.650227
43.0,4239.811,461.0088,21.023243
43.5,4289.111,456.19733,24.279604
44.0,4338.411,463.7066,26.461226
44.5,4387.7114,469.03082,28.39953
45.0,4437.0117,467.00528,29.326225
45.5,4486.3115,464.81512,36.359207
46.0,4535.612,463.1365,29.945078
46.5,4584.912,470.81525,31.193686
47.0,4634.212,476.82996,33.407654
47.5,4683.512,483.49722,27.922682
48.0,4732.8125,495.59637,35.65642
48.5,4782.1123,492.19595,40.466076
49.0,4831.4126,495.6215,31.760038
49.5,4880.713,489.33786,32.905865
50.0,4930.0127,503.0038,27.048431
50.5,4979.313,506.95306,21.594707
51.0,5028.613,470.80298,54.305008
51.5,5077.913,486.47253,39.12389
52.0,5127.2134,480.57294,29.628378
52.5,5176.513,467.40277,72.09561
53.0,5225.8135,481.67966,35.6865
53.5,5275.114,484.62555,29.844894
54.0,5324.4136,493.18152,37.400875
54.5,5373.714,475.62778,44.698784
55.0,5423.014,470.03717,41.578297
55.5,5472.314,474.81702,28.057156
56.0,5521.6143,470.2061,34.654278
56.5,5570.9146,473.08942,33.19022
57.0,5620.2144,477.4941,35.21247
57.5,5669.5146,478.69064,45.667675
58.0,5718.815,464.957,62.391186
58.5,5768.115,479.34332,51.65385
59.0,5817.415,482.55588,47.048122
59.5,5866.7153,480.14532,50.780666
60.0,5916.0156,472.27917,34.32387
60.5,5965.3154,470.00687,28.175192
61.0,6014.6157,477.51425,42.033688
61.5,6063.9155,483.49384,45.25575
62.0,6113.216,490.3417,35.412315
62.5,6162.516,494.2999,29.280407
63.0,6211.816,499.28723,30.198252
63.5,6261.116,511.93963623046875,
64.0,6310.4165,516.6854248046875,
64.5,6359.7163,516.5709838867188,
65.0,6409.0166,503.7836,28.893118
65.5,6458.317,494.05853,26.310913
66.0,6507.617,514.00134,26.992033
66.5,6556.917,516.2802,44.457134
67.0,6606.2173,519.0707,32.79696
67.5,6655.517,523.71265,35.53305
68.0,6704.8174,517.4989,25.091297
68.5,6754.117,516.29724,23.229185
69.0,6803.4175,511.3012,18.20714
69.5,6852.718,513.333984375,
70.0,6902.018,524.867431640625,
70.5,6951.318,512.942626953125,
71.0,7000.618,527.7687377929688,
71.5,7049.918,526.0936279296875,
72.0,7099.2183,515.2697143554688,
72.5,7148.5186,522.26904296875,
73.0,7197.819,530.1729736328125,
73.5,7247.1187,531.9505615234375,
74.0,7296.419,526.5806274414062,
74.5,7345.7188,527.2802734375,
75.0,7395.019,528.13134765625,
75.5,7444.319,533.036376953125,
76.0,7493.619,542.725830078125,
76.5,7542.9194,558.4190673828125,
77.0,7592.2197,564.1143188476562,
77.5,7641.52,798.8589,254.20518
78.0,7690.8203,755.64294,271.04794
78.5,7740.12,717.61743,309.7368
