picked_depths_cm,est_age,est_age_poserr,est_age_negerr
0.0,0.0,75.0,75.0
29.627700805664062,347.6869587835462,81.95702731860882,77.94529336618893
81.04964447021484,895.7105976416942,76.17384501752258,70.89297742786005
109.61739349365234,1199.3665170286,79.29559801480741,75.57351822265423
152.46900939941406,1654.8503150136362,99.18535561708177,94.55238405381897
210.0126190185547,2449.7601397562544,94.40032963589238,87.94779758056848
259.3940124511719,3137.2740876346397,96.72183968261606,89.82872934329498
317.75384521484375,3949.7906294293543,101.99682998506842,94.59271381679491
375.29742431640625,4750.942854855137,112.0252754021285,102.42843986651042
426.7193908691406,5466.86674389204,122.93052150781841,111.64976600564569
462.2250061035156,5961.194748931941,132.20830226572252,119.53836691816741
529.78759765625,6901.83697910105,159.24298607956007,140.8140978199017
556.9066772460938,6977.6707047320715,145.95257910616328,102.30129333372315
586.2906494140625,7318.524699191127,92.63871272235156,103.57525168113534
617.3070678710938,7691.71874460404,251.39986275858246,309.6194386927091
639.753173828125,7961.7935470018765,375.7239208705669,474.0626273184298
654.0370483398438,8133.659196821618,455.58383286880235,579.3697010782098
708.3157348632812,8786.748225506326,758.0085246038434,978.9263268254199
753.2079467773438,9326.897830302,1011.2519332420707,1311.985813792453
783.0,9685.36013563627,1180.4203456795658,1532.844132205284
