picked_depths_cm,category
12.44542759067474,1
43.99871766061551,1
89.89075477319513,1
127.21962856522217,1
174.9493514075565,1
230.5675028986644,1
272.3466950845567,1
305.21261781860795,1
371.3191979584895,1
404.2352268238293,1
442.77652101738994,1
490.55634999101267,1
10.132794926564229,2
40.32334620110606,2
85.74043637932989,2
123.0192040400685,2
172.11166567780177,2
220.6790742498908,2
267.93385015786936,2
303.63745862167536,2
359.0305570471391,2
403.9225941597187,2
439.8887291563468,2
482.1555009407054,2
7.770056131165301,3
36.38544820877452,3
77.07706079620048,3
116.19351418669382,3
163.44829009467236,3
212.80327826522773,3
263.4708990998936,3
301.27471982627645,3
345.1166508075676,3
402.8724880284302,3
438.5760964922363,3
480.5803417437727,3
16.433431714294695,4
47.936615652947054,4
94.14128542963718,4
132.4701592216642,4
180.51251472810907,4
236.6931927520391,4
280.7976502661524,4
315.18862606584787,4
371.89435715542214,4
410.7482840130934,4
446.9769455425436,4
496.331933713099,4
