SB_DEPTH_cm,hiresMS
201.5,40.95
202.0,34.4
202.5,42.0
203.0,49.6
203.5,87.85
204.0,126.1
204.5,131.45
205.0,136.8
205.5,150.9
206.0,165.0
206.5,169.15
207.0,173.3
207.5,217.54999
208.0,261.8
208.5,231.95
209.0,202.1
209.5,224.9
210.0,247.7
210.5,164.65
211.0,81.6
211.5,85.3
212.0,89.0
212.5,85.35
213.0,81.7
213.5,99.8
214.0,117.9
214.5,186.95
215.0,256.0
215.5,226.3
216.0,196.6
216.5,140.20001
217.0,83.8
217.5,75.75
218.0,67.7
218.5,62.5
219.0,57.3
219.5,53.8
220.0,50.3
220.5,65.05
221.0,79.8
221.5,88.5
222.0,97.2
222.5,103.55
223.0,109.9
223.5,113.75
224.0,117.6
224.5,116.0
225.0,114.4
225.5,108.600006
226.0,102.8
226.5,113.350006
227.0,123.9
227.5,133.65
228.0,143.4
228.5,148.1
229.0,152.8
229.5,142.75
230.0,132.7
230.5,119.25
231.0,105.8
231.5,116.5
232.0,127.2
232.5,141.75
233.0,156.3
233.5,144.95001
234.0,133.6
234.5,147.4
235.0,161.2
235.5,131.55
236.0,101.9
236.5,126.100006
237.0,150.3
237.5,134.2
238.0,118.1
238.5,121.899994
239.0,125.7
239.5,132.15
240.0,138.6
240.5,166.70001
241.0,194.8
241.5,169.1
242.0,143.4
242.5,168.2
243.0,193.0
243.5,205.6
244.0,218.2
244.5,215.35
245.0,212.5
245.5,209.05
246.0,205.6
246.5,213.4
247.0,221.2
247.5,
248.0,
248.5,
249.0,
249.5,
250.0,
250.5,
251.0,
251.5,
252.0,170.8
252.5,172.75
253.0,174.7
253.5,165.35
254.0,156.0
254.5,148.35
255.0,140.7
255.5,142.95
256.0,145.2
256.5,145.7
257.0,146.2
257.5,154.25
258.0,162.3
258.5,148.0
259.0,133.7
259.5,138.65
260.0,143.6
260.5,144.1
261.0,144.6
261.5,163.15
262.0,181.7
262.5,
263.0,
263.5,
264.0,187.9
264.5,136.6
265.0,85.3
265.5,92.05
266.0,98.8
266.5,148.05
267.0,197.3
267.5,180.3
268.0,163.3
268.5,160.6
269.0,157.9
269.5,181.95
270.0,206.0
270.5,206.8
271.0,207.6
271.5,162.05
272.0,116.5
272.5,133.9
273.0,151.3
273.5,167.35
274.0,183.4
274.5,198.75
275.0,214.1
275.5,196.15
276.0,178.2
276.5,263.3
277.0,348.4
277.5,279.35
278.0,210.3
278.5,210.25
279.0,210.2
279.5,236.65
280.0,263.1
280.5,250.20001
281.0,237.3
281.5,202.15
282.0,167.0
282.5,153.2
283.0,139.4
283.5,159.6
284.0,179.8
284.5,187.05
285.0,194.3
285.5,191.45001
286.0,188.6
286.5,174.9
287.0,161.2
287.5,185.35
288.0,209.5
288.5,215.4
289.0,221.3
289.5,227.20001
290.0,233.1
290.5,
291.0,
291.5,
292.0,413.4
292.5,354.15
293.0,294.9
293.5,327.3
294.0,359.7
294.5,331.55
295.0,303.4
295.5,310.65
296.0,317.9
296.5,318.34998
297.0,318.8
297.5,329.05
298.0,339.3
298.5,297.5
299.0,255.7
299.5,198.15
300.0,140.6
300.5,240.05
301.0,339.5
301.5,320.7
302.0,301.9
302.5,279.2
303.0,256.5
303.5,327.65
304.0,398.8
304.5,400.55
305.0,402.3
305.5,397.25
306.0,392.2
306.5,341.65002
307.0,291.1
307.5,258.8
308.0,226.5
308.5,217.45
309.0,208.4
309.5,189.04999
310.0,169.7
310.5,135.85
311.0,102.0
311.5,190.95
312.0,279.9
312.5,235.25
313.0,190.6
313.5,174.05
314.0,157.5
314.5,199.1
315.0,240.7
315.5,253.6
316.0,266.5
316.5,231.2
317.0,195.9
317.5,189.4
318.0,182.9
318.5,160.65
319.0,138.4
319.5,140.95
320.0,143.5
320.5,156.35
321.0,169.2
321.5,151.9
322.0,134.6
322.5,136.35
323.0,138.1
323.5,161.55
324.0,185.0
324.5,168.65
325.0,152.3
325.5,134.9
326.0,117.5
326.5,129.6
327.0,141.7
327.5,130.9
328.0,120.1
328.5,113.1
329.0,106.1
329.5,117.2
330.0,128.3
330.5,147.25
331.0,166.2
331.5,142.9
332.0,119.6
332.5,127.25
333.0,134.9
333.5,123.799995
334.0,112.7
334.5,109.75
335.0,106.8
335.5,109.8
336.0,112.8
336.5,121.15
337.0,129.5
337.5,155.8
338.0,182.1
338.5,153.45001
339.0,124.8
339.5,150.15
340.0,175.5
340.5,158.3
341.0,141.1
341.5,142.8
342.0,144.5
342.5,128.45
343.0,112.4
343.5,129.4
344.0,146.4
344.5,161.2
345.0,176.0
345.5,194.3
346.0,212.6
346.5,187.75
347.0,162.9
347.5,141.0
348.0,119.1
348.5,138.15
349.0,157.2
349.5,133.1
350.0,109.0
350.5,130.8
351.0,152.6
351.5,136.1
352.0,119.6
352.5,120.149994
353.0,120.7
353.5,128.29999
354.0,135.9
354.5,116.6
355.0,97.3
355.5,98.5
356.0,99.7
356.5,108.1
357.0,116.5
357.5,147.5
358.0,178.5
358.5,154.8
359.0,131.1
359.5,118.950005
360.0,106.8
360.5,104.850006
361.0,102.9
361.5,112.9
362.0,122.9
362.5,123.95
363.0,125.0
363.5,127.1
364.0,129.2
364.5,137.7
365.0,146.2
365.5,144.45
366.0,142.7
366.5,137.54999
367.0,132.4
367.5,121.95
368.0,111.5
368.5,100.35
369.0,89.2
369.5,102.3
370.0,115.4
370.5,109.350006
371.0,103.3
371.5,108.95
372.0,114.6
372.5,120.25
373.0,125.9
373.5,124.95
374.0,124.0
374.5,107.25
375.0,90.5
375.5,84.6
376.0,78.7
376.5,68.649994
377.0,58.6
377.5,66.6
378.0,74.6
378.5,87.899994
379.0,101.2
379.5,102.399994
380.0,103.6
380.5,103.149994
381.0,102.7
381.5,95.45
382.0,88.2
382.5,95.899994
383.0,103.6
383.5,123.600006
384.0,143.6
384.5,158.05
385.0,172.5
385.5,216.35
386.0,260.2
386.5,231.90001
387.0,203.6
387.5,167.25
388.0,130.9
388.5,157.75
389.0,184.6
389.5,170.20001
390.0,155.8
390.5,134.25
391.0,112.7
391.5,80.1
392.0,47.5
392.5,50.95
393.0,54.4
393.5,73.850006
394.0,93.3
394.5,121.05
395.0,148.8
395.5,162.5
396.0,176.2
396.5,157.7
397.0,139.2
397.5,118.5
398.0,97.8
398.5,110.55
399.0,123.3
399.5,131.85
400.0,140.4
400.5,129.75
401.0,119.1
401.5,125.45
402.0,131.8
402.5,147.5
403.0,163.2
403.5,157.25
404.0,151.3
404.5,146.95001
405.0,142.6
405.5,146.20001
406.0,149.8
406.5,148.0
407.0,146.2
407.5,135.3
408.0,124.4
408.5,109.5
409.0,94.6
409.5,98.05
410.0,101.5
410.5,105.45
411.0,109.4
411.5,93.55
412.0,77.7
412.5,71.5
413.0,65.3
413.5,91.45
414.0,117.6
414.5,121.45
415.0,125.3
415.5,106.600006
416.0,87.9
416.5,92.600006
417.0,97.3
417.5,110.4
418.0,123.5
418.5,141.0
419.0,158.5
419.5,139.5
420.0,120.5
420.5,127.15
421.0,133.8
421.5,124.2
422.0,114.6
422.5,137.75
423.0,160.9
423.5,161.7
424.0,162.5
424.5,224.9
425.0,287.3
425.5,245.7
426.0,204.1
426.5,178.3
427.0,152.5
427.5,141.9
428.0,131.3
428.5,153.45001
429.0,175.6
429.5,182.75
430.0,189.9
430.5,148.29999
431.0,106.7
431.5,122.95
432.0,139.2
432.5,116.95
433.0,94.7
433.5,91.149994
434.0,87.6
434.5,128.6
435.0,169.6
435.5,172.4
436.0,175.2
436.5,134.15
437.0,93.1
437.5,102.25
438.0,111.4
438.5,
439.0,
