SB_DEPTH_cm,SB_DEPTH_pxl,R,R_std,G,G_std,B,B_std,Lumin,Lumin_std
60.550385,6008.8325,121.93348,13.930745,118.749016,12.958421,90.181755,10.504078,117.36348,12.8846245
61.050385,6058.451,126.74448,16.492437,123.056305,15.063345,93.63327,11.701662,121.716064,15.036603
61.550385,6108.0693,130.6534,15.644976,127.04861,14.042863,97.18195,10.621269,125.658615,14.0389805
62.050385,6157.688,131.33804,14.025156,127.50676,12.51343,96.7776,9.826358,126.102646,12.5252905
62.550385,6207.3066,131.41243,15.56903,127.42409,14.369099,96.31906,11.388603,126.02623,14.311236
63.050385,6256.925,133.9516,15.146497,129.61694,13.593582,98.27799,10.740249,128.27582,13.62306
63.550385,6306.5435,133.08246,13.505506,128.76527,12.18086,97.882614,9.062994,127.45337,12.125889
64.050385,6356.1616,135.31496,9.4853325,130.26959,8.06507,98.79376,6.0941906,129.06969,8.089786
64.550385,6405.78,132.23047,11.677618,127.40052,10.001556,96.15607,7.0241723,126.171524,10.023001
65.050385,6455.399,129.91206,15.006835,124.98281,13.453244,93.98079,9.527567,123.79243,13.399639
65.550385,6505.0176,132.27286,9.637784,127.4726,7.8282814,95.864426,5.3194027,126.21102,7.873106
66.050385,6554.6357,135.67372,9.302645,130.38826,8.137575,98.125,5.6712317,129.18254,8.041919
66.550385,6604.2544,139.86606,6.493399,134.71928,5.811456,101.34575,5.4495983,133.40392,5.714177
67.050385,6653.8726,140.67061,6.378716,134.70961,5.6018558,100.3933,4.727141,133.49928,5.5118203
67.550385,6703.491,140.388,6.312413,134.5585,5.650467,100.23875,4.855414,133.31998,5.532147
68.050385,6753.1094,141.44176,5.8546085,135.17116,5.3897796,100.38912,4.806996,133.99303,5.246998
68.550385,6802.728,140.48286,8.677677,134.21562,7.943485,100.48857,6.8647294,133.11295,7.8635216
69.050385,6852.346,144.42128,6.447116,138.11145,6.328213,103.12389,5.9871793,136.92682,6.1527987
69.550385,6901.965,144.98592,5.9975796,138.61412,6.0106688,104.245255,5.7454305,137.48734,5.812294
70.050385,6951.583,145.95009,6.4662285,140.19641,6.288973,106.18541,5.8760514,138.96405,6.109319
70.550385,7001.2017,144.19841,6.391104,138.21048,6.2994695,104.92041,5.9524465,137.07997,6.11144
71.050385,7050.82,149.16028,7.29005,144.01892,7.5516896,109.94001,7.1699166,142.65147,7.316622
71.550385,7100.4385,152.48787,6.3857846,147.3746,6.065844,112.81351,5.932192,145.96637,5.9389167
72.050385,7150.0566,151.16533,7.83648,146.16669,7.839041,112.387726,6.330975,144.79056,7.55353
72.550385,7199.6753,151.44966,6.737835,146.45453,6.83497,112.14857,6.268322,145.03961,6.5818267
73.050385,7249.2935,149.34416,6.663128,144.1532,6.3300085,108.916985,5.8283696,142.71275,6.1817684
73.550385,7298.912,152.38881,6.898148,147.41719,6.755679,111.49596,6.613339,145.88065,6.5873046
74.050385,7348.5303,155.51276,7.493314,150.50352,6.748537,114.248566,5.963174,148.95088,6.660461
74.550385,7398.149,154.52853,5.5562253,149.07132,5.050736,112.51392,5.326322,147.59207,4.9498262
75.050385,7447.768,154.18471,4.81042,148.57289,4.3645887,111.803116,4.4572854,147.11119,4.2322454
