SB_DEPTH_pxl,SB_DEPTH_cm,CT,CT_std
0,0.0,591.0175438596491,180.04292774936724
1,0.010077127903773759,593.8207896797189,178.77381423297388
2,0.020154255807547518,596.6240354997888,177.50470071658054
3,0.030231383711321277,599.4272813198587,176.23558720018718
4,0.040308511615095036,602.2305271399285,174.96647368379382
5,0.05038563951886879,605.0337729599984,173.69736016740046
6,0.060462767422642553,607.8370187800682,172.42824665100713
7,0.07053989532641632,609.6752956598779,166.36274768500107
8,0.08061702323019007,611.1827940373541,158.65311165981828
9,0.09069415113396383,612.6902924148304,150.9434756346355
10,0.10077127903773758,614.1977907923067,143.23383960945267
11,0.11084840694151135,615.705289169783,135.5242035842699
12,0.12092553484528511,617.2127875472593,127.81456755908711
13,0.13100266274905886,617.9927514396679,124.67196031725109
14,0.14107979065283263,618.013786300749,126.29345814772427
15,0.15115691855660637,618.03482116183,127.91495597819744
16,0.16123404646038014,618.0558560229111,129.53645380867061
17,0.1713111743641539,618.0768908839922,131.1579516391438
18,0.18138830226792765,618.0979257450732,132.77944946961696
19,0.19146543017170142,618.5855713858929,134.43868723810237
20,0.20154255807547516,620.5993087533867,136.2213568038513
21,0.21161968597924893,622.6130461208807,138.00402636960024
22,0.2216968138830227,624.6267834883745,139.78669593534917
23,0.23177394178679644,626.6405208558684,141.5693655010981
24,0.24185106969057021,628.6542582233623,143.35203506684707
25,0.251928197594344,630.6679955908562,145.134704632596
26,0.2620053254981177,633.1429623677515,144.35042411942666
27,0.27208245340189147,635.6278806234612,143.51075912988293
28,0.28215958130566526,638.1127988791709,142.6710941403392
29,0.292236709209439,640.5977171348807,141.83142915079546
30,0.30231383711321275,643.0826353905904,140.99176416125172
31,0.31239096501698654,645.5675536463002,140.152099171708
32,0.3224680929207603,647.2731660331099,140.01542980483882
33,0.332545220824534,648.681099401469,140.14729049180852
34,0.3426223487283078,650.0890327698283,140.27915117877825
35,0.35269947663208157,651.4969661381875,140.41101186574795
36,0.3627766045358553,652.9048995065468,140.54287255271765
37,0.3728537324396291,654.312832874906,140.67473323968738
38,0.38293086034340285,655.3713828022787,141.37056347425477
39,0.3930079882471766,656.0332797642963,142.7066650187419
40,0.40308511615095033,656.6951767263138,144.042766563229
41,0.4131622440547241,657.3570736883313,145.3788681077161
42,0.42323937195849787,658.0189706503487,146.71496965220322
43,0.4333164998622716,658.6808676123662,148.05107119669034
44,0.4433936277660454,659.3559095919481,149.1917805997531
45,0.45347075566981915,660.0795088131368,149.61071817005435
46,0.4635478835735929,660.8031080343254,150.0296557403556
47,0.4736250114773667,661.526707255514,150.44859331065686
48,0.48370213938114043,662.2503064767026,150.86753088095813
49,0.49377926728491417,662.9739056978913,151.28646845125937
50,0.503856395188688,663.6975049190798,151.70540602156063
51,0.5139335230924617,666.0945931328615,154.55795728232565
52,0.5240106509962354,668.5654881478506,157.51783953998552
53,0.5340877789000092,671.0363831628396,160.47772179764536
54,0.5441649068037829,673.5072781778287,163.4376040553052
55,0.5542420347075567,675.9781731928176,166.39748631296504
56,0.5643191626113305,678.4490682078067,169.35736857062489
57,0.5743962905151042,680.1368057916371,170.46855614319082
58,0.584473418418878,681.4928531693297,170.7967671432464
59,0.5945505463226518,682.8489005470223,171.12497814330195
60,0.6046276742264255,684.2049479247149,171.45318914335752
61,0.6147048021301993,685.5609953024075,171.7814001434131
62,0.6247819300339731,686.9170426801002,172.10961114346864
