SB_DEPTH_cm,SB_DEPTH_pxl,CT,CT_std
71.5,7095.2754,720.7432,120.9685
72.0,7144.893,726.9704,116.22654
72.5,7194.5103,691.9724,189.27664
73.0,7244.1274,634.7189,135.91129
73.5,7293.745,669.3887,130.9223
74.0,7343.3623,701.10223,251.85287
74.5,7392.9795,650.9682,152.55652
75.0,7442.5967,661.42615,207.49689
75.5,7492.2144,671.68304,232.49324
76.0,7541.831,670.7808,229.67699
76.5,7591.4487,702.5772,292.72885
77.0,7641.066,700.23914,269.32755
77.5,7690.6836,642.2223,151.22693
78.0,7740.3003,602.19965,24.096928
78.5,7789.9185,613.83875,23.320585
79.0,7839.535,608.91614,43.753544
79.5,7889.153,610.7062,54.049652
80.0,7938.77,639.355,60.495705
80.5,7988.387,658.2012,29.002071
81.0,8038.0044,666.98773,41.59056
81.5,8087.622,665.1883,56.02921
82.0,8137.2393,641.00464,64.556984
82.5,8186.856,632.35974,80.05372
83.0,8236.474,671.63715,76.38723
83.5,8286.091,713.3375,54.027527
84.0,8335.709,738.6306,64.48681
84.5,8385.325,726.09235,78.93978
85.0,8434.943,722.8571,65.76122
85.5,8484.561,727.1734,67.77005
86.0,8534.178,791.5483,99.00811
86.5,8583.795,786.0842,113.77982
87.0,8633.412,765.4199,109.092804
87.5,8683.029,913.1564,285.0162
88.0,8732.646,773.45856,308.1423
88.5,8782.265,,
89.0,8831.882,,
89.5,8881.499,,
90.0,8931.116,,
90.5,8980.733,,
91.0,9030.351,,
91.5,9079.968,,
92.0,9129.585,,
92.5,9179.203,,
93.0,9228.82,610.6327,29.379778
93.5,9278.4375,624.4998,23.657064
94.0,9328.055,623.23724,38.30676
94.5,9377.672,647.8527,47.1697
95.0,9427.289,662.92456,48.40831
95.5,9476.907,651.3713,54.952488
96.0,9526.523,697.7136,61.727108
96.5,9576.142,665.5939,45.31616
97.0,9625.759,663.54706,53.36414
97.5,9675.376,710.085,90.96069
98.0,9724.993,717.9029,88.7302
98.5,9774.61,792.9237,168.98724
99.0,9824.228,665.7287,74.960236
99.5,9873.845,652.86456,61.35324
100.0,9923.463,646.8768,42.890026
100.5,9973.079,621.7633,40.931564
101.0,10022.697,641.4329,21.909372
101.5,10072.314,643.3925,23.175333
102.0,10121.932,624.37445,35.458385
102.5,10171.549,643.76746,22.539192
103.0,10221.167,699.3078,35.291245
103.5,10270.783,687.4614,92.05749
104.0,10320.401,642.48663,44.821682
104.5,10370.019,762.57404,175.5785
105.0,10419.636,597.6224,29.451717
105.5,10469.253,602.72644,26.511028
106.0,10518.87,600.9548,29.307339
106.5,10568.487,598.1824,28.710857
107.0,10618.1045,593.23773,18.571861
107.5,10667.723,583.55536,20.040676
108.0,10717.339,586.6547,29.88315
108.5,10766.957,590.52673,22.687939
109.0,10816.574,607.7461,18.434011
109.5,10866.191,615.7166,28.331179
110.0,10915.809,613.0602,26.74734
110.5,10965.426,622.3696,27.503162
111.0,11015.043,623.5887,38.36101
111.5,11064.661,625.1339,31.815441
112.0,11114.277,628.8755,48.280872
112.5,11163.8955,631.08154,35.80371
113.0,11213.513,630.2924,42.126175
113.5,11263.13,647.47504,59.066578
114.0,11312.747,675.7397,57.35461
114.5,11362.364,696.4776,75.98661
115.0,11411.981,764.5194,142.15805
115.5,11461.599,931.19476,186.74452
116.0,11511.217,823.13763,183.06293
116.5,11560.833,852.40515,147.7668
117.0,11610.451,666.09686,184.00238
117.5,11660.068,590.14087,34.384853
118.0,11709.686,595.0078,33.417244
118.5,11759.303,593.661,25.950838
119.0,11808.921,597.28345,25.3961
119.5,11858.537,596.37286,26.952312
120.0,11908.155,600.39856,22.079992
120.5,11957.772,613.0064,26.219418
121.0,12007.39,612.8786,22.81234
121.5,12057.007,612.80914,29.361824
122.0,12106.624,615.8575,36.5933
122.5,12156.241,591.399,64.07931
123.0,12205.858,615.13635,45.129013
123.5,12255.477,618.5793,30.608654
124.0,12305.093,624.15295,33.127808
124.5,12354.711,642.14233,26.843504
125.0,12404.328,649.6172,45.582348
125.5,12453.945,659.8958,52.86383
126.0,12503.5625,646.7142,47.722813
126.5,12553.18,655.46423,79.07645
127.0,12602.797,742.4734,62.63883
127.5,12652.415,904.96515,127.35967
128.0,12702.032,948.2267,255.3993
128.5,12751.649,717.77075,74.225624
129.0,12801.267,681.4793,35.105793
129.5,12850.884,679.1344,37.84659
130.0,12900.502,689.4351,48.503593
130.5,12950.118,699.80664,90.16311
131.0,12999.735,694.49585,40.875782
131.5,13049.354,707.57733,68.151024
132.0,13098.97,721.41864,86.183754
132.5,13148.588,737.59753,49.310917
133.0,13198.204,758.3738,44.789116
133.5,13247.822,749.4066,71.21167
134.0,13297.439,761.48944,103.00833
134.5,13347.058,783.5847,143.48648
135.0,13396.674,829.2737,144.26852
135.5,13446.292,848.2954,137.08582
136.0,13495.909,832.11914,121.22064
136.5,13545.526,845.67596,118.96728
137.0,13595.144,,
137.5,13644.761,,
138.0,13694.378,982.93097,232.5368
138.5,13743.995,1141.475,230.11052
139.0,13793.612,1130.0166,177.53766
