SB_DEPTH_cm,SB_DEPTH_pxl,CT,CT_std
0.0,0.0,591.4234,147.79982
0.5,49.61731,689.6125,203.76266
1.0,99.23463,639.6223,117.63044
1.5,148.85194,855.6048,298.75085
2.0,198.46925,871.62915,313.11987
2.5,248.08656,876.8049,349.14008
3.0,297.7039,899.54767,375.1872
3.5,347.32117,739.2512,143.13687
4.0,396.93848,747.57666,173.92572
4.5,446.55582,766.3824,130.4782
5.0,496.17313,738.4875,142.78073
5.5,545.7904,638.0322,116.10478
6.0,595.4078,602.3206,43.85945
6.5,645.0251,593.9254,28.115345
7.0,694.64233,628.68585,53.099285
7.5,744.2597,643.24475,65.82483
8.0,793.87695,643.1135,55.468758
8.5,843.4943,753.35376,116.58673
9.0,893.1116,748.007,123.66776
9.5,942.72894,786.2432,141.77823
10.0,992.34625,765.3624,174.86115
10.5,1041.9636,718.39087,106.2725
11.0,1091.5808,763.03845,92.72574
11.5,1141.1981,796.8749,114.60852
12.0,1190.8154,783.08374,164.61969
12.5,1240.4329,629.5142,62.227875
13.0,1290.0502,564.67065,42.215572
13.5,1339.6675,553.30475,35.91322
14.0,1389.2848,559.96967,37.89273
14.5,1438.9021,558.8161,39.430645
15.0,1488.5194,560.1954,30.406933
15.5,1538.1367,566.71405,28.517227
16.0,1587.7539,564.0852,33.58022
16.5,1637.3713,575.5003,26.742802
17.0,1686.9886,586.7068,40.587383
17.5,1736.606,611.4965,58.225445
18.0,1786.2231,621.2153,50.816765
18.5,1835.8406,647.5757,114.38234
19.0,1885.4579,779.0123,168.90315
19.5,1935.0752,885.4607,241.66113
20.0,1984.6925,974.1082,274.50412
20.5,2034.3098,975.5216,126.26215
21.0,2083.9272,857.0334,153.015
21.5,2133.5444,881.4403,135.02023
22.0,2183.1616,828.17816,132.11131
22.5,2232.779,735.1508,168.94948
23.0,2282.3965,859.8396,206.14178
23.5,2332.0137,767.1657,115.958046
24.0,2381.6309,790.21576,125.58354
24.5,2431.2483,848.4675,143.65051
25.0,2480.8657,992.3977,225.94002
25.5,2530.483,949.0063,258.03397
26.0,2580.1003,756.43256,144.26039
26.5,2629.7175,749.9375,121.25433
27.0,2679.335,692.1649,101.70556
27.5,2728.9521,611.4843,105.982864
28.0,2778.5693,614.5688,210.97414
28.5,2828.1868,563.7571,36.89321
29.0,2877.8042,547.94385,23.605148
29.5,2927.4214,553.394,24.75505
30.0,2977.0388,562.2197,24.812782
30.5,3026.656,573.29297,29.708807
31.0,3076.2734,596.21967,46.402153
31.5,3125.8906,670.46423,198.96715
32.0,3175.508,566.6399,238.655
32.5,3225.1252,600.3221,100.60497
33.0,3274.7427,617.6877,35.34247
33.5,3324.3599,606.24725,91.334984
34.0,3373.9773,616.4859,55.67311
34.5,3423.5947,631.5388,36.910454
35.0,3473.212,629.66504,70.00126
35.5,3522.8293,643.9492,66.9388
36.0,3572.4465,656.6207,64.374855
36.5,3622.0637,659.8888,58.24136
37.0,3671.6812,655.15265,46.83742
37.5,3721.2983,671.4619,71.88261
38.0,3770.9155,569.0017,329.16324
38.5,3820.533,625.8797,162.78352
39.0,3870.1501,659.0566,87.51569
39.5,3919.7676,681.32654,86.361786
40.0,3969.385,673.66486,123.032166
40.5,4019.0022,648.24304,122.212364
41.0,4068.6196,626.45654,96.07901
41.5,4118.237,619.5588,61.634853
42.0,4167.8545,614.30597,58.43939
42.5,4217.4717,623.2213,31.562025
43.0,4267.089,617.8461,42.873573
43.5,4316.706,620.3895,30.20657
44.0,4366.323,623.33716,44.24759
44.5,4415.941,624.25183,66.13675
45.0,4465.558,619.1898,60.994892
45.5,4515.1753,638.98157,85.95937
46.0,4564.7925,637.617,55.396107
46.5,4614.41,647.8868,60.367
47.0,4664.0273,604.5666,233.16344
47.5,4713.6445,638.8662,51.56028
48.0,4763.2617,657.03174,92.68392
48.5,4812.8794,656.4827,87.30733
49.0,4862.4966,688.3937,92.34096
49.5,4912.114,691.2918,91.67567
50.0,4961.7314,711.5573,106.17086
50.5,5011.3486,691.5596,118.50264
51.0,5060.966,702.7416,126.70025
51.5,5110.583,734.9931,152.74081
52.0,5160.2007,724.1308,144.53807
52.5,5209.818,709.38214,156.46547
53.0,5259.435,698.37885,136.21933
53.5,5309.0522,698.83136,100.21154
54.0,5358.6694,704.4542,111.99532
54.5,5408.287,727.9467,92.941216
55.0,5457.9043,806.1538,129.82603
55.5,5507.5215,756.65594,132.74898
56.0,5557.1387,746.4718,115.30161
56.5,5606.7563,896.14636,136.44638
57.0,5656.3735,864.6679,174.034
57.5,5705.9907,812.1219,146.1826
58.0,5755.6084,825.74603,147.96564
58.5,5805.2256,889.6629,157.19688
59.0,5854.843,878.05615,141.95412
59.5,5904.4604,831.95233,184.30792
60.0,5954.0776,802.1904,374.22153
60.5,6003.695,848.4574,134.00342
61.0,6053.312,848.30304,210.28955
61.5,6102.929,855.72003,233.84038
62.0,6152.547,822.95886,211.13597
62.5,6202.164,805.31995,202.07077
63.0,6251.7812,754.6344,175.90956
63.5,6301.3984,746.9583,153.87148
64.0,6351.016,718.3428,102.85242
64.5,6400.6333,720.4939,133.00223
65.0,6450.2505,774.621,226.17863
65.5,6499.8677,769.56635,229.80879
66.0,6549.4854,788.8211,254.03639
66.5,6599.102,788.0256,263.49686
67.0,6648.7197,757.87366,237.57253
67.5,6698.337,714.0350341796875,
68.0,6747.9546,713.7084350585938,
68.5,6797.572,715.7449951171875,
69.0,6847.1895,749.90533,248.94952
69.5,6896.806,723.23456,204.8525
70.0,6946.424,674.5109,154.84184
70.5,6996.041,634.5236,43.305977
71.0,7045.6587,634.43195,38.34073
71.5,7095.2754,663.3869,73.09564
72.0,7144.893,676.804,59.26205
72.5,7194.5103,721.10657,112.52745
73.0,7244.1274,718.52075,122.914154
73.5,7293.745,687.74347,175.23859
74.0,7343.3623,622.2142,123.364075
74.5,7392.9795,680.9922,150.80937
75.0,7442.5967,705.5985,264.8193
75.5,7492.2144,670.90265,206.61848
76.0,7541.831,670.5741,208.74937
76.5,7591.4487,668.2613,219.36372
77.0,7641.066,663.74225,212.33818
77.5,7690.6836,699.3358,292.25067
78.0,7740.3003,683.6122,263.18063
78.5,7789.9185,646.39435,155.10594
79.0,7839.535,600.4192,23.998
79.5,7889.153,605.33746,29.171453
80.0,7938.77,613.8726,40.540092
80.5,7988.387,601.1851,57.920757
81.0,8038.0044,628.8319,47.46709
81.5,8087.622,651.7503,29.084002
82.0,8137.2393,659.5502,30.695543
82.5,8186.856,668.3873,43.895115
83.0,8236.474,654.09625,70.56732
83.5,8286.091,631.3799,79.785645
84.0,8335.709,640.98425,81.3127
84.5,8385.325,710.70135,39.637543
85.0,8434.943,735.6167,58.27452
85.5,8484.561,738.8447,78.94956
86.0,8534.178,691.70233,61.955006
86.5,8583.795,725.523,63.881897
87.0,8633.412,732.54364,64.63383
87.5,8683.029,788.65063,84.697815
