SB_DEPTH_cm,SB_DEPTH_pxl,R,R_std,G,G_std,B,B_std,Lumin,Lumin_std
0.050384484,5.0,,,,,,,109.2295150756836,
0.55038446,54.61845,93.921684,11.407546,88.956726,11.39965,60.38958,9.296844,87.94973,11.170826
1.0503844,104.2369,119.57226,12.499841,115.42992,11.821176,86.60841,10.448287,114.22967,11.729884
1.5503844,153.85535,130.11179,12.152266,125.98919,11.532448,95.74014,9.353928,124.68167,11.397924
2.0503843,203.4738,126.97339,7.505591,122.86684,7.075408,93.18347,5.7494316,121.596756,6.916763
2.5503843,253.09224,123.092026,7.106415,118.628006,6.6259985,89.52826,5.9815083,117.47605,6.5038157
3.0503843,302.7107,124.090324,7.651885,120.25292,6.46523,92.824776,5.4263577,119.08845,6.4580283
3.5503843,352.32913,117.782845,14.792513,114.71501,13.7861805,87.78955,11.264977,113.42321,13.702161
4.0503845,401.9476,118.18702,13.76837,114.56741,12.6378565,87.746376,10.401032,113.40047,12.60631
4.5503845,451.56604,113.843544,12.765413,110.49357,11.373465,84.71111,9.111648,109.34428,11.371897
5.050384,501.18448,117.40468,21.294628,114.73003,20.200834,89.39322,17.10346,113.46934,20.133017
5.550384,550.8029,117.25315,23.69885,113.53196,22.39388,87.962875,18.903952,112.477,22.349937
6.050384,600.4214,110.98355,15.502854,107.25303,14.134512,82.086815,11.957884,106.22913,14.1649
6.550384,650.03986,108.4233,13.457921,106.00439,13.133168,82.0697,10.376609,104.790565,12.886429
7.050384,699.65826,112.72242,8.973239,110.086945,8.070565,84.89152,6.2862387,108.82813,7.969618
7.550384,749.27673,117.27817,8.125928,114.82642,7.569751,89.033714,6.0436335,113.48543,7.4227495
8.0503845,798.8952,126.38554,8.034281,123.64001,7.9789557,95.05816,6.5365233,122.160095,7.7339005
8.5503845,848.5137,136.3336,4.97099,132.70251,3.820688,100.587204,3.8465397,131.15576,3.8320332
9.0503845,898.1321,136.17204,4.97644,132.68346,4.4873962,100.393166,4.6847486,131.09377,4.3643756
9.5503845,947.75055,134.61859,7.5920634,130.82939,6.654608,100.15697,6.021519,129.42043,6.665214
10.050384,997.36896,125.51674,5.9457903,120.599236,4.9548693,90.37769,4.8155055,119.4627,4.9259357
10.550384,1046.9874,120.6869,7.454968,116.044655,6.346845,86.2578,6.1900444,114.88098,6.347936
11.050384,1096.6058,115.05043,7.925541,111.03926,6.423248,84.10813,6.10495,109.94761,6.4803514
11.550384,1146.2242,117.09892,8.509162,113.757706,7.247147,88.97642,6.7314186,112.67884,7.2371945
12.050384,1195.8428,125.23884,12.095415,123.89493,11.02304,99.38988,9.853344,122.41138,10.975627
12.550384,1245.4612,123.420265,10.802628,120.13893,9.276136,95.04057,9.01811,119.024445,9.391471
13.050384,1295.0796,135.24797,9.445298,133.51184,8.080365,109.39225,7.6692696,132.13951,8.111727
13.550384,1344.6981,120.39332,10.733276,118.162415,9.461955,96.06631,8.515548,117.04137,9.4759865
14.050384,1394.3165,114.22687,8.115651,112.595535,6.709754,89.30737,6.09117,111.260956,6.7593083
14.550384,1443.935,110.58248,7.5314417,108.84993,6.5718446,84.957375,6.0302353,107.493225,6.555615
15.050384,1493.5535,118.77076,10.835234,116.23026,10.537704,89.625694,8.73398,114.849525,10.341491
15.550384,1543.1719,137.74709,6.5084,133.9164,5.7366185,102.92879,5.436813,132.4935,5.7220793
16.050385,1592.7903,138.40591,5.973473,133.81454,5.604841,102.963356,5.5968585,132.56322,5.493906
16.550385,1642.4089,137.34528,7.653131,132.62744,7.1937566,101.51049,6.673857,131.3838,7.1033936
17.050385,1692.0273,140.25226,6.103699,135.42029,5.2780566,102.91887,5.7852917,134.10097,5.291417
