SB_DEPTH_cm,SB_DEPTH_pxl,CT,CT_std
81.5,8060.2173,494.14883,20.63748
82.0,8109.6665,489.06497,17.172535
82.5,8159.115,491.19153,27.788748
83.0,8208.564,485.88538,16.3433
83.5,8258.014,484.81818,14.65217
84.0,8307.463,484.11392,14.609057
84.5,8356.912,480.35892,11.575812
85.0,8406.361,490.04028,29.631784
85.5,8455.811,480.43704,13.763791
86.0,8505.26,480.95728,13.046555
86.5,8554.709,483.67786,19.681541
87.0,8604.158,479.6452,15.76301
87.5,8653.607,481.32104,12.668955
88.0,8703.057,479.0994,11.966167
88.5,8752.506,481.96063,20.040375
89.0,8801.955,483.37247,28.680592
89.5,8851.403,481.52338,14.6672535
90.0,8900.853,481.09155,14.51984
90.5,8950.303,494.0128,18.955372
91.0,8999.752,490.64163,15.050304
91.5,9049.201,499.03134,21.508316
92.0,9098.649,505.71558,13.70209
92.5,9148.099,506.2141,13.448417
93.0,9197.548,505.89175,14.594636
93.5,9246.998,515.16516,23.784409
94.0,9296.447,510.1596,29.974133
94.5,9345.8955,524.54724,27.499767
95.0,9395.345,543.2308,25.880795
95.5,9444.794,577.93884,40.018585
96.0,9494.243,585.8704,27.92215
96.5,9543.692,589.95514,36.365402
97.0,9593.142,591.0844,36.815228
97.5,9642.591,604.1443,30.576445
98.0,9692.04,705.8869,112.403114
98.5,9741.489,742.1286,91.51031
99.0,9790.938,951.01184,257.1715
99.5,9840.388,1156.5369,311.88565
100.0,9889.837,1289.7198,215.6113
100.5,9939.286,1316.9459,120.47346
101.0,9988.735,1182.634,187.27571
101.5,10038.185,1082.5079,201.84798
102.0,10087.634,1013.67285,189.02704
102.5,10137.083,837.3459,189.03348
103.0,10186.532,1011.4342,176.43115
103.5,10235.981,1089.0443,178.76309
104.0,10285.431,1215.3297,231.48901
104.5,10334.879,1129.153,219.81047
105.0,10384.329,1025.1415,233.02985
105.5,10433.778,1069.8607,278.5171
106.0,10483.228,938.53125,268.28104
106.5,10532.676,909.23035,248.91132
107.0,10582.125,1063.9601,218.2299
107.5,10631.574,1278.5536,179.68507
108.0,10681.024,1233.5782,302.47226
108.5,10730.474,838.9838,428.5625
109.0,10779.922,675.0706,350.76328
109.5,10829.371,616.37305,285.9524
110.0,10878.82,519.60815,61.695427
110.5,10928.27,502.55685,25.485819
111.0,10977.72,509.70068,28.013147
111.5,11027.168,507.82324,30.072287
112.0,11076.617,498.90115,21.048666
112.5,11126.066,495.42224,22.641272
113.0,11175.516,499.2802,17.35483
113.5,11224.965,495.8128,19.768328
114.0,11274.414,501.84552,23.749256
114.5,11323.863,509.28552,21.407999
115.0,11373.3125,514.6878,28.25233
115.5,11422.762,518.9714,31.76685
116.0,11472.211,495.58966,31.550228
116.5,11521.66,496.79974,40.840714
117.0,11571.109,504.39813,36.92665
117.5,11620.559,502.68857,30.45202
118.0,11670.008,500.5211,32.51485
118.5,11719.457,489.22446,31.939117
119.0,11768.905,483.13016,23.851341
119.5,11818.355,477.93436,24.697252
120.0,11867.805,464.25128,40.961662
120.5,11917.254,470.4742,13.127452
121.0,11966.703,468.3669,14.705898
121.5,12016.151,475.09863,34.371002
122.0,12065.601,477.21548,39.872406
122.5,12115.051,470.82037,20.285213
123.0,12164.5,466.67273,13.875231
123.5,12213.948,469.47632,15.998671
124.0,12263.397,466.07156,17.2505
124.5,12312.847,466.9508,13.307208
125.0,12362.296,467.1318,16.384619
125.5,12411.745,466.14816,13.102204
126.0,12461.194,463.61334,31.968153
126.5,12510.644,467.60956,15.096887
127.0,12560.093,466.46884,13.484014
127.5,12609.542,469.5915,16.0842
128.0,12658.991,467.81787,15.984825
128.5,12708.44,467.76123,18.055656
129.0,12757.89,466.41824,17.632385
129.5,12807.338,464.135,20.976967
130.0,12856.787,471.6701,15.944046
130.5,12906.236,467.3028,13.282816
131.0,12955.687,469.41434,13.151027
131.5,13005.136,467.7692,14.477254
132.0,13054.585,468.77518,13.19669
132.5,13104.033,468.78586,13.487775
133.0,13153.482,469.67114,13.325205
133.5,13202.932,467.44647,11.548751
134.0,13252.382,471.31088,14.137598
134.5,13301.831,470.2672,14.375055
135.0,13351.279,469.185,11.807867
135.5,13400.729,469.37424,12.062442
136.0,13450.178,467.08475,12.392314
136.5,13499.628,471.07617,11.987056
137.0,13549.077,468.6307,11.369164
137.5,13598.525,469.33844,12.043814
138.0,13647.975,467.54868,12.857317
138.5,13697.424,471.30505,18.928766
139.0,13746.873,470.1876,12.276566
139.5,13796.323,468.4091,11.425032
140.0,13845.771,469.84946,11.665434
140.5,13895.221,470.4642,12.984117
141.0,13944.67,471.657,13.583891
141.5,13994.119,470.4179,11.384067
142.0,14043.568,471.91306,10.648188
142.5,14093.019,472.20502,14.402598
143.0,14142.467,474.59903,14.367373
143.5,14191.916,476.33054,11.484179
144.0,14241.365,476.83917,12.411803
144.5,14290.814,476.8028,15.69669
145.0,14340.264,477.62152,12.885618
145.5,14389.713,475.41083,12.770571
146.0,14439.162,476.41962,13.982002
146.5,14488.611,476.59454,14.95159
147.0,14538.061,474.39206,14.344678
147.5,14587.51,474.07483,13.606499
148.0,14636.959,477.1751,18.446413
148.5,14686.408,472.2137,13.483004
149.0,14735.856,471.99033,13.165434
149.5,14785.307,470.47208,12.011828
150.0,14834.756,471.6643,14.064628
150.5,14884.205,470.91077,16.324173
151.0,14933.654,473.27472,18.781612
151.5,14983.103,471.16495,17.318836
152.0,15032.552,472.6344,12.291509
152.5,15082.002,472.5892,14.691043
153.0,15131.45,470.98984,15.117531
153.5,15180.899,474.36026,15.747294
154.0,15230.349,473.67746,19.296389
154.5,15279.798,472.90378,12.071174
155.0,15329.247,471.20465,10.41442
155.5,15378.696,473.94006,11.734085
156.0,15428.145,471.35898,11.193403
156.5,15477.595,471.46967,9.887595
157.0,15527.044,475.25668,13.042663
157.5,15576.493,473.16095,10.859924
158.0,15625.942,474.11838,13.999256
158.5,15675.392,473.82147,13.6790905
159.0,15724.84,473.14966,14.147335
159.5,15774.29,474.74487,22.325499
160.0,15823.739,478.07144,28.310242
160.5,15873.188,477.8515,22.552965
161.0,15922.638,478.6456,14.392559
161.5,15972.086,477.35342,11.944311
162.0,16021.535,478.60825,10.882343
162.5,16070.985,479.80078,13.6564045
163.0,16120.435,480.9847,17.572296
163.5,16169.884,479.71027,12.885114
164.0,16219.332,485.4042,18.505274
164.5,16268.781,488.3251,13.839705
165.0,16318.23,484.6528,15.565512
165.5,16367.681,487.19464,15.095178
166.0,16417.129,498.65286,20.07776
166.5,16466.578,504.6252,24.87328
167.0,16516.027,520.1539,22.474623
167.5,16565.477,523.39703,18.850647
168.0,16614.926,563.67865,35.962566
168.5,16664.375,840.44415,251.58818
169.0,16713.824,937.698,250.93102
169.5,16763.273,1119.8455,289.7542
170.0,16812.723,704.62244,267.78275
170.5,16862.172,715.7115478515625,
171.0,16911.621,707.95947265625,
171.5,16961.07,684.336181640625,
172.0,17010.52,664.713134765625,
172.5,17059.969,646.4166259765625,
173.0,17109.418,634.0411987304688,
173.5,17158.867,644.712646484375,
174.0,17208.316,619.8084716796875,
174.5,17257.766,617.2479248046875,
175.0,17307.215,594.5379638671875,
175.5,17356.664,569.33484,25.87475
176.0,17406.113,578.2704,70.59209
176.5,17455.562,579.6368,74.19805
177.0,17505.01,675.0627,272.3127
177.5,17554.46,705.68207,325.54437
178.0,17603.91,726.5927,359.5751
178.5,17653.36,771.3575,408.67126
179.0,17702.809,779.12775,412.15576
179.5,17752.256,765.2701,389.88895
180.0,17801.705,756.8745,404.2298
180.5,17851.156,732.9309,386.2538
181.0,17900.605,703.3846,350.92755
181.5,17950.055,701.2696,370.08673
182.0,17999.504,689.50507,358.7265
182.5,18048.951,592.40857,194.58925
183.0,18098.4,538.7521,76.55898
183.5,18147.852,518.8473,22.211096
184.0,18197.3,522.4331,22.823385
184.5,18246.75,525.13165,22.41392
185.0,18296.197,526.04193,22.536852
185.5,18345.646,529.98285,25.44426
186.0,18395.096,518.1015,25.558435
186.5,18444.547,519.40497,28.854902
187.0,18493.996,523.26086,24.068209
187.5,18543.443,519.92084,24.980059
188.0,18592.893,522.1196,21.839346
188.5,18642.342,527.232,25.095198
189.0,18691.791,527.8508,27.17416
189.5,18741.242,525.15,27.734118
190.0,18790.69,524.2775,20.13286
190.5,18840.139,526.5002,18.154291
191.0,18889.588,524.8644,26.01805
191.5,18939.037,518.0423,29.124168
