SB_DEPTH_cm,SB_DEPTH_pxl,R,R_std,G,G_std,B,B_std,Lumin,Lumin_std
270.05054,26707.898,136.32097,5.3669696,121.648186,7.8171506,78.34979,6.1232834,121.64148,6.8330464
270.55054,26757.348,136.8279,5.9583325,121.72925,8.48397,78.39609,6.933212,121.81056,7.5060043
271.05054,26806.797,136.6823,5.392801,122.37602,7.9818006,79.259995,6.976778,122.304565,7.067233
271.55054,26856.248,136.0974,5.004084,122.721466,7.7134123,79.75133,6.267201,122.462746,6.6179695
272.05054,26905.7,137.56937,5.074317,124.03182,7.7580166,81.41234,6.182627,123.83277,6.7262573
272.55054,26955.146,136.79172,5.0595407,122.82534,7.595558,79.93436,5.9307575,122.69786,6.5457463
273.05054,27004.598,137.61551,5.564841,123.87121,7.7328877,81.36702,5.8889785,123.72445,6.7604733
273.55054,27054.047,136.94681,5.139716,123.238945,7.499827,80.84953,5.606493,123.09272,6.52056
274.05054,27103.496,137.02272,4.756998,123.05807,7.01222,80.90915,5.2520647,122.9838,6.047877
274.55054,27152.945,136.69083,4.8734055,122.75669,7.098073,80.56999,5.0666347,122.6732,6.0443244
275.05054,27202.396,136.51466,5.3469934,123.176895,7.403556,80.633675,5.4795275,122.94088,6.4650803
275.55054,27251.846,134.85066,4.990891,121.42856,7.408362,78.745926,5.6905856,121.20041,6.288427
276.05054,27301.295,137.65997,5.4455576,123.7671,7.866999,80.04771,6.0273027,123.56418,6.849376
276.55054,27350.746,138.78879,4.78777,124.830505,7.422155,81.51654,5.787573,124.67077,6.355483
277.05054,27400.195,139.67497,5.1465592,125.73231,7.4123416,82.56303,5.379002,125.57969,6.377409
277.55054,27449.646,140.28455,4.9603324,126.426834,7.585773,82.958595,5.647275,126.23457,6.5034966
278.05054,27499.094,138.6455,5.101477,124.74987,7.6157923,81.41678,5.8678904,124.57543,6.556858
278.55054,27548.545,138.0352,5.1162987,124.324745,7.75091,80.94636,5.731829,124.107666,6.6518583
279.05054,27597.996,137.95497,4.991696,124.1162,7.644387,80.45876,5.7339325,123.90625,6.5526834
279.55054,27647.443,137.09387,5.3529515,123.34536,7.8012404,79.27472,5.9900813,123.086395,6.772619
280.05054,27696.895,137.31868,5.0734878,123.70355,7.965635,80.15924,6.5329666,123.45423,6.8698754
280.55054,27746.344,138.13634,5.935621,124.35124,8.503809,80.49938,6.684532,124.11585,7.453862
281.05054,27795.795,137.80058,5.1158056,123.67945,8.01525,79.94511,6.211231,123.52398,6.9114976
281.55054,27845.244,136.80473,5.0737157,122.65809,7.817609,79.134575,6.32891,122.52327,6.8040543
282.05054,27894.693,136.89552,5.155195,122.86528,7.8771043,79.31053,6.2354674,122.70345,6.8588443
282.55054,27944.145,134.04088,5.053439,120.22335,7.8184795,77.13778,6.115075,120.05018,6.7230787
283.05054,27993.594,134.9823,4.3811088,121.54142,7.196293,78.10241,5.513567,121.26266,6.13822
283.55054,28043.043,134.07735,5.407952,120.4213,7.9146976,76.73196,6.239192,120.170204,6.893319
284.05054,28092.492,132.88893,5.169465,119.29819,7.8044486,75.400116,5.982089,119.018135,6.7336197
284.55054,28141.943,133.40193,5.3248987,119.98938,7.8547463,76.20307,6.1393876,119.67951,6.8563366
285.05054,28191.39,132.19473,4.9677,118.903694,7.6002584,75.5296,5.8743587,118.59776,6.5265846
285.55054,28240.842,131.0384,4.963061,117.86054,7.7264614,74.45548,5.8827505,117.52831,6.6821146
286.05054,28290.293,131.55562,4.9900956,118.4882,8.030098,74.58328,6.1581225,118.0964,6.8642383
286.55054,28339.742,129.77545,4.3795047,116.531876,7.0465107,72.28611,5.344106,116.152916,6.004137
287.05054,28389.191,132.0802,4.7018514,118.98541,7.698099,75.18874,5.9903374,118.60724,6.544696
287.55054,28438.64,133.09598,5.257066,119.81782,7.98058,76.48816,6.2326007,119.51235,6.9052267
288.05054,28488.092,133.69788,5.9851527,120.85885,8.234113,77.82982,6.4971285,120.48173,7.2010245
288.55054,28537.54,134.3381,5.133758,120.87903,7.695822,77.57977,6.1474457,120.61422,6.6990147
289.05054,28586.99,132.77902,4.7090793,119.473595,7.362075,76.213936,5.5600657,119.17898,6.241993
289.55054,28636.441,130.20398,5.655856,117.2669,7.9634514,74.02757,5.893349,116.89545,6.930562
290.05054,28685.89,131.51964,5.7785325,118.59809,8.327379,75.58975,6.3980417,118.24001,7.2845054
290.55054,28735.34,131.79837,5.898049,118.708046,8.344356,75.68766,6.364595,118.38498,7.308942
291.05054,28784.79,133.04648,5.0746775,120.02965,7.743243,77.07425,5.8956,119.69565,6.6493163
291.55054,28834.24,132.04575,4.5899944,119.00425,7.408116,76.19346,5.49482,118.68593,6.273702
292.05054,28883.69,134.10371,4.704416,121.186005,7.6164007,78.50774,5.6693587,120.85094,6.4519353
292.55054,28933.139,134.68648,5.203128,121.59882,7.920086,78.98086,6.281517,121.304245,6.879589
293.05054,28982.59,136.09387,6.465088,122.8009,9.121448,79.89868,7.811942,122.52945,8.145063
293.55054,29032.041,135.23936,6.2384233,122.155235,8.881313,79.45599,7.481401,121.854034,7.911301
294.05054,29081.488,137.05293,5.307942,123.980385,8.359163,81.75945,6.85109,123.71126,7.286046
294.55054,29130.938,137.00304,5.589539,124.15819,8.707077,82.130005,6.902999,123.85457,7.578272
295.05054,29180.389,136.16301,6.401857,123.325,9.181726,81.83862,7.6421585,123.05904,8.122899
295.55054,29229.84,135.46988,5.025156,122.93455,8.127563,81.15191,6.4018383,122.582855,7.0270104
296.05054,29279.287,135.47824,5.700423,122.65831,8.612197,81.23446,6.7341504,122.39302,7.473438
296.55054,29328.738,133.57927,4.8197885,121.40063,7.810115,79.81692,5.7906637,120.987465,6.685802
297.05054,29378.19,131.90712,6.819843,119.834206,8.465847,79.12276,6.004693,119.46154,7.497632
297.55054,29427.637,134.5211,4.973135,122.46869,7.745205,81.65751,5.7120547,122.08447,6.606705
298.05054,29477.086,132.96341,5.1764207,121.14116,7.9495296,81.031815,5.877012,120.758675,6.8669558
298.55054,29526.537,133.10593,5.9953218,121.48595,8.491812,81.0745,6.443252,121.03864,7.413913
299.05054,29575.988,133.80898,5.6253457,121.943474,8.395929,81.10832,6.5249515,121.517784,7.327228
