SB_DEPTH_cm,SECT_NUM_cm,SECT_DEPTH_cm,CORE_THICK_cm,PWAmp,PWVel_m/s,Den_gm/cc,MS,Imp,FP
31.498747,1.0,31.538269,11.057309,9.691341,1068.0613,1.1729459,33.6531,1252.7618,0.91477704
31.998747,1.0,32.038895,11.054845,11.961104,1067.5449,1.1733093,33.664104,1252.5424,0.9146089
32.49875,1.0,32.53952,11.052842,11.460478,1066.836,1.1708562,33.751717,1249.1117,0.9160107
32.99875,1.0,33.04015,11.051,11.0,1066.184,1.1689011,33.823696,1246.275,0.9171274
33.49875,1.0,33.540775,11.051,11.0,1066.184,1.1726558,33.71641,1250.252,0.91497463
33.99875,1.0,34.041405,11.050834,11.041405,1066.168,1.1762615,33.614807,1254.0541,0.91290474
34.49875,1.0,34.542034,11.048832,11.542033,1065.9747,1.178214,33.57621,1255.9169,0.91175336
34.99875,1.0,35.04266,11.047085,12.0,1065.7843,1.1794368,33.584625,1257.0077,0.9110243
35.49875,1.0,35.54329,11.048086,12.0,1065.6237,1.1728286,34.097717,1249.8107,0.91482896
35.99875,1.0,36.043915,11.04878,12.087829,1065.5237,1.1672479,34.583652,1243.7738,0.9180409
36.49875,1.0,36.54454,11.046277,13.089082,1066.0548,1.1723543,34.787155,1249.8029,0.9150872
36.99875,1.0,37.045166,11.044,14.135502,1066.538,1.1773523,34.99147,1255.665,0.91219676
37.49875,1.0,37.545795,11.044,15.637387,1066.538,1.1812572,35.203938,1259.8448,0.90994394
37.99875,1.0,38.046425,11.044417,17.046425,1066.5305,1.1848882,35.481243,1263.721,0.9078489
38.49875,1.0,38.54705,11.0489235,17.547052,1066.4498,1.1858394,36.392937,1264.6272,0.9072982
38.99875,1.0,39.04768,11.052857,17.95232,1066.3877,1.187277,37.262962,1266.074,0.9064662
39.49875,1.0,39.548306,11.051355,17.451693,1066.5004,1.1933345,37.737156,1272.6566,0.90296185
39.99875,1.0,40.048935,11.050196,16.951067,1066.6714,1.1988244,38.2886,1278.7092,0.89978534
40.49875,1.0,40.54956,11.052198,16.45044,1067.3807,1.1990747,39.55313,1279.8688,0.89963514
40.99875,1.0,41.050186,11.054301,15.949814,1068.0222,1.2000327,40.791122,1281.6985,0.8990734
41.49875,1.0,41.550816,11.057305,15.449185,1068.0543,1.2073419,41.790874,1289.5443,0.89481807
41.99875,1.0,42.05144,11.060258,14.897115,1068.1079,1.2138382,42.85114,1296.5465,0.891036
42.49875,1.0,42.55207,11.06276,13.895858,1068.3497,1.2132375,44.43973,1296.182,0.89138645
42.99875,1.0,43.0527,11.065263,13.0,1068.5914,1.2141756,45.967415,1297.4628,0.8908463
43.49875,1.0,43.553326,11.067766,13.0,1068.8333,1.2281932,46.97738,1312.7274,0.88273615
43.99875,1.0,44.05395,11.069892,13.26976,1069.0942,1.2409536,48.00373,1326.6771,0.8753489
44.49875,1.0,44.554577,11.068891,15.772892,1069.5149,1.2433065,49.165733,1329.7394,0.8739472
44.99875,1.0,45.055206,11.068497,17.392744,1069.9943,1.2497777,50.18819,1337.2859,0.8701605
45.49875,1.0,45.555832,11.073002,11.885834,1070.9485,1.2894776,50.08471,1381.0132,0.84713167
45.99875,1.0,46.05646,11.077169,7.451693,1071.7822,1.3277885,50.004818,1423.1028,0.82491016
46.49875,1.0,46.55709,11.078671,11.456719,1071.668,1.3551729,50.1105,1452.308,0.80904025
46.99875,1.0,47.057716,11.080115,14.942282,1071.4885,1.3729645,50.492348,1471.147,0.79873437
47.49875,1.0,47.558346,11.081117,14.441655,1070.8082,1.3171446,52.993374,1410.4395,0.8311249
47.99875,1.0,48.05897,11.080466,14.235883,1070.0903,1.2682184,55.17171,1357.0781,0.8595113
48.49875,1.0,48.559597,11.067451,16.238388,1069.0917,1.2709218,54.93326,1358.7343,0.8579093
48.99875,1.0,49.060223,11.05612,18.060225,1068.2246,1.2725413,54.64383,1359.395,0.8569397
49.49875,1.0,49.560852,11.057121,18.560852,1068.3213,1.2662333,53.98155,1352.7782,0.8605942
49.99875,1.0,50.06148,11.058246,18.93852,1068.4297,1.2605217,53.291466,1346.8124,0.8639045
50.49875,1.0,50.562107,11.060248,18.437891,1068.6229,1.2590699,52.4028,1345.4962,0.8647556
50.99875,1.0,51.062737,11.062,17.937263,1068.7273,1.2575365,51.481625,1343.9816,0.8656568
51.49875,1.0,51.563362,11.062,17.436636,1068.2112,1.2554339,50.333538,1341.082,0.8669084
51.99875,1.0,52.063988,11.061616,16.93601,1067.7899,1.2534657,49.30285,1338.4443,0.86807674
52.49875,1.0,52.564617,11.058612,16.435385,1068.0162,1.2524143,49.07321,1337.5942,0.8686775
52.99875,1.0,53.065243,11.055738,16.0,1068.1877,1.25028,48.884083,1335.5233,0.86990464
53.49875,1.0,53.565872,11.053737,16.0,1067.994,1.2409183,48.965286,1325.3055,0.8753114
53.99875,1.0,54.066498,11.051734,16.133,1067.8347,1.2339371,48.994358,1317.6714,0.87934166
54.49875,1.0,54.567127,11.049731,17.134254,1067.8998,1.2424979,48.683117,1326.9044,0.8743855
54.99875,1.0,55.067757,11.048,17.864489,1067.956,1.2498323,48.41675,1334.8121,0.8701407
55.49875,1.0,55.568382,11.048,16.863235,1067.956,1.2493316,48.437077,1334.252,0.870441
55.99875,1.0,56.069008,11.047793,16.207026,1067.8649,1.2485964,48.42588,1333.3336,0.8708725
56.49875,1.0,56.569633,11.046291,17.708904,1067.203,1.2463937,48.217518,1330.1752,0.8721241
56.99875,1.0,57.070263,11.0449295,19.140522,1066.6997,1.245814,47.90295,1328.9429,0.8724412
57.49875,1.0,57.57089,11.044429,20.141779,1067.1677,1.2551757,46.93784,1339.5092,0.8670344
57.99875,1.0,58.071518,11.044143,21.214554,1067.5828,1.2628353,45.901768,1348.1898,0.8626146
58.49875,1.0,58.572147,11.045144,22.716438,1067.6794,1.260282,44.439934,1345.556,0.86411643
58.99875,1.0,59.072773,11.046218,23.854452,1067.7831,1.25671,42.963028,1341.8539,0.8662005
59.49875,1.0,59.573402,11.04772,22.853199,1067.9282,1.247148,41.39752,1331.8715,0.87170744
59.99875,1.0,60.074028,11.049074,21.555838,1068.174,1.2343881,39.927208,1318.5767,0.87907976
60.49875,1.0,60.574654,11.049575,18.552078,1068.999,1.203199,39.005505,1286.1941,0.89720243
60.99875,1.0,61.07528,11.05,16.225842,1069.661,1.176971,37.966198,1258.9296,0.9124419
61.49875,1.0,61.57591,11.05,17.727726,1069.4016,1.1787733,36.26241,1260.5826,0.9113906
61.99875,1.0,62.076538,11.050153,18.54078,1069.1177,1.1803076,34.61645,1261.9169,0.91049236
62.49875,1.0,62.577164,11.051154,15.537009,1068.6973,1.1803577,33.29094,1261.4844,0.9104423
62.99875,1.0,63.077793,11.0521555,13.077793,1068.4778,1.179202,32.099827,1259.9933,0.9111001
63.49875,1.0,63.57842,11.053157,13.57842,1069.3514,1.1714923,31.639254,1252.7487,0.9156057
63.99875,1.0,64.07905,11.053921,14.316184,1070.0385,1.1660513,31.120096,1247.7195,0.9187834
64.49875,1.0,64.57967,11.053421,16.31869,1069.7311,1.1727096,30.288506,1254.506,0.91487855
