SB_DEPTH_cm,hiresMS
1.0025157,36.22682189941406
1.5025157,35.965980529785156
2.0025158,40.32807159423828
2.5025158,27.472147
3.0025158,31.162863
3.5025158,25.225908
4.002516,19.19109
4.502516,24.650755
5.002516,30.286575
5.502516,44.914623
6.002516,59.727364
6.502516,53.973896
7.002516,47.689705
7.502516,48.225533
8.002516,48.97365
8.502516,47.989525
9.002516,46.942158
9.502516,49.389084
10.002516,51.98256
10.502516,53.242786
11.002516,54.439774
11.502516,59.378616
12.002516,64.51569
12.502516,57.355946
13.002516,49.47577
13.502516,49.328045
14.002516,49.677166
14.502516,49.14065
15.002516,48.542156
15.502516,49.427227
16.002516,50.42472
16.502516,47.041714
17.002516,43.301125
17.502516,46.531185
18.002516,50.371525
18.502516,49.37735
19.002516,47.93099
19.502516,48.117504
20.002516,48.466625
20.502516,47.8234
21.002516,47.075283
21.502516,48.390526
22.002516,49.936638
22.502516,51.259724
23.002516,52.55646
23.502516,51.67986
24.002516,50.532745
24.502516,48.900497
25.002516,47.20476
25.502516,48.622528
26.002516,50.467888
26.502516,50.787205
27.002516,50.88695
27.502516,48.559086
28.002516,45.865864
28.502516,45.02591
29.002516,44.47729
29.502516,45.7283
30.002516,47.27441
30.502516,47.244415
31.002516,46.94517
31.502516,46.94235
32.002514,46.99222
32.502514,46.78952
33.002514,46.54015
33.502514,46.5
34.002514,46.5
34.502514,46.5
35.002514,46.5
35.502514,44.598232
36.002514,42.30401
36.502514,41.160347
37.002514,40.262604
37.502514,42.182884
38.002514,44.726482
38.502514,41.46573
39.002514,36.877266
39.502514,40.80034
40.002514,46.735397
40.502514,45.815426
41.002514,43.221943
41.502514,48.03817
42.002514,54.721344
42.502514,64.769356
43.002514,75.6919
43.502514,74.22382
44.002514,69.435875
44.502514,71.99575
45.002514,76.58421
45.502514,81.09499
46.002514,85.583694
46.502514,92.9291000366211
47.002514,67.65103149414062
47.502514,50.123291015625
48.002514,41.92155456542969
48.502514,40.108985900878906
49.002514,39.23316955566406
49.502514,39.256004333496094
50.002514,41.15816879272461
50.502514,28.239468
51.002514,29.486328
51.502514,32.748894
52.002514,36.688988
52.502514,39.10892
53.002514,41.00415
53.502514,39.842834
54.002514,37.598476
54.502514,36.597675
55.002514,36.049057
55.502514,33.793213
56.002514,30.900482
56.502514,31.326485
57.002514,33.022217
57.502514,34.789593
58.002514,36.58508
58.502514,37.70471
59.002514,38.552574
59.502514,38.128918
60.002514,37.1813
60.502514,36.40903
61.002514,35.71079
61.502514,35.430363
62.002514,35.330612
62.502514,33.537064
63.002514,30.993467
63.502514,28.998928
64.00252,27.253315
64.50252,26.257149
65.00252,25.60878
65.50252,24.825151
66.00252,23.97728
66.50252,22.659517
67.00252,21.113409
67.50252,22.232328
68.00252,24.676176
68.50252,27.318394
69.00252,30.061487
69.50252,31.295298
70.00252,31.744171
70.50252,31.606958
71.00252,31.158089
71.50252,31.872345
72.00252,33.218956
72.50252,32.545918
73.00252,30.750437
73.50252,27.937122
74.00252,24.545635
74.50252,22.100857
75.00252,20.20563
75.50252,18.592148
76.00252,17.14579
76.50252,39.98187255859375
77.00252,41.515380859375
77.50252,40.82440948486328
78.00252,40.61622619628906
78.50252,36.863609313964844
79.00252,28.405858993530273
79.50252,29.43402862548828
80.00252,30.07308006286621
80.50252,26.023235
81.00252,29.215223
81.50252,30.649
82.00252,30.898373
82.50252,32.24105
83.00252,34.335777
83.50252,36.371906
84.00252,38.366886
84.50252,40.53615
85.00252,42.83039
85.50252,44.203144
86.00252,44.90139
86.50252,45.171455
87.00252,45.12158
87.50252,44.619003
88.00252,43.77114
88.50252,43.428043
89.00252,43.477917
89.50252,43.249866
90.00252,42.801
90.50252,41.69114
91.00252,40.04528
91.50252,38.64504
92.00252,37.44805
92.50252,36.57553
93.00252,35.97703
93.50252,36.66439
94.00252,38.45987
94.50252,39.353073
95.00252,39.452824
95.50252,39.289707
96.00252,38.89071
96.50252,41.824314
97.00252,47.809246
97.50252,51.628254
98.00252,53.423733
98.50252,62.904842
99.00252,79.712524
99.50252,103.95339
100.00252,135.42441
100.50252,150.97484
101.00252,150.72548
101.50252,133.0055
102.00252,97.59464
102.50252,76.75453
103.00252,70.9691
103.50252,71.32621
104.00252,78.15906
104.50252,106.71351
105.00252,158.6328
105.50252,166.13625
106.00252,124.89009
106.50252,92.60737
107.00252,70.36337
107.50252,57.801746
108.00252,56.305504
108.50252,67.26555
109.00252,92.75138
109.50252,115.2539
110.00252,134.20619
110.50252,121.762405
111.00252,71.18973
111.50252,42.48732
112.00252,40.891323
112.50252,40.57254
113.00252,41.869274
113.50252,43.253086
114.00252,44.74932
114.50252,45.10507
115.00252,43.95795
115.50252,43.236195
116.00252,43.08657
116.50252,44.555256
117.00252,48.245964
117.50252,50.89838
118.00252,52.095367
118.50252,52.471764
119.00252,51.673767
119.50252,51.402645
120.00252,51.90139
120.50252,51.759712
121.00252,50.66247
121.50252,50.434765
122.00252,51.532
122.50252,52.16098
123.00252,52.06123
123.50252,52.134823
124.00252,52.483944
124.50252,49.56345
125.00252,41.334167
125.50252,35.956142
126.00252,35.307777
126.50252,34.881493
127.00252,34.83162
127.50252,35.20165
128.00252,36.298885
128.50252,36.657894
129.00252,35.710278
129.50252,35.18877
130.00252,35.438145
130.50252,35.88005
131.00252,36.678043
131.50252,37.25176
132.00252,37.401382
132.50252,37.63602
133.00252,38.035015
133.50252,38.702034
134.00252,39.89902
134.50252,40.914505
135.00252,41.56287
135.50252,41.951252
136.00252,41.80163
136.50252,41.62001
137.00252,41.37064
137.50252,41.215748
138.00252,41.26562
138.50252,41.40847
139.00252,41.75759
139.50252,42.0
140.00252,42.0
140.50252,42.254913
141.00252,43.10278
141.50252,44.3045
142.00252,46.34935
142.50252,47.53913
143.00252,46.64139
143.50252,45.800617
144.00252,45.102375
144.50252,44.739902
145.00252,45.238647
145.50252,45.54504
146.00252,45.345547
146.50252,45.240467
147.00252,45.39009
147.50252,45.31466
148.00252,44.616417
148.50252,42.98308
149.00252,38.69388
149.50252,36.353333
150.00252,39.69492
150.50252,42.062664
151.00252,41.514046
151.50252,41.002125
152.00252,40.60313
152.50252,40.527676
153.00252,41.47529
153.50252,41.84805
154.00252,40.351814
154.50252,37.776386
155.00252,31.59186
155.50252,26.788769
156.00252,26.738895
156.50252,26.68902
157.00252,26.639147
157.50252,26.750202
158.00252,27.448444
158.50252,28.136208
159.00252,28.784576
159.50252,29.392036
160.00252,29.840908
160.50252,30.569086
161.00252,32.41444
161.50252,34.201454
162.00252,35.747585
162.50252,37.729538
163.00252,41.56987
163.50252,44.77379
164.00252,45.172783
164.50252,45.482056
165.00252,45.382305
165.50252,45.570354
166.00252,47.116463
166.50252,48.679512
167.00252,50.325367
167.50252,56.83678
168.00252,88.0083
168.50252,113.729904
169.00252,110.787315
169.50252,103.747154
170.00252,74.32079
170.50252,47.28392
171.00252,33.817825
171.50252,61.628997802734375
172.00252,68.85435485839844
172.50252,73.86592102050781
173.00252,73.92501831054688
173.50252,72.76066589355469
174.00252,56.18109130859375
174.50252,59.042083740234375
175.00252,61.03443145751953
175.50252,44.76313018798828
176.00252,36.987396240234375
176.50252,22.119204
177.00252,23.116709
177.50252,24.251263
178.00252,26.445738
178.50252,29.038748
179.00252,34.874054
179.50252,40.75103
180.00252,46.985332
180.50252,53.17998
181.00252,59.01529
181.50252,64.507065
182.00252,66.70154
182.50252,69.1633
183.00252,74.35024
183.50252,78.80154
184.00252,75.26045
184.50252,72.079056
185.00252,73.07655
185.50252,74.11109
186.00252,75.60732
186.50252,77.03797
187.00252,77.586586
187.50252,78.272835
188.00252,80.96606
188.50252,83.4823
189.00252,83.18306
189.50252,82.68953
190.00252,78.79932
190.50252,74.94827
191.00252,71.85606
191.50252,68.90659
192.00252,69.05621
192.50252,69.139656
193.00252,67.59355
193.50252,65.96776
194.00252,62.077557
194.50252,58.278336
195.00252,57.53022
195.50252,56.829826
196.00252,58.076687
196.50252,59.36405
197.00252,62.755512
197.50252,66.10414
198.00252,66.40339
198.50252,66.71978
199.00252,68.964134
199.50252,71.20226
200.00252,71.800766
200.50252,72.39927
