SB_DEPTH_cm,SECT_NUM_cm,SECT_DEPTH_cm,CORE_THICK_cm,PWAmp,PWVel_m/s,Den_gm/cc,MS,Imp,FP
1,1,1,11.338,14,,,,,
2,1,2,11.337,13,1096.952,1.2825,,,0.8512
3,1,3,11.325,14,1096.321,1.2782,43.5646,1401.293,0.8537
4,1,4,11.231,8,1086.17,1.3534,45.9578,1469.982,0.8101
5,1,5,11.214,15,1085.051,1.3707,49.3697,1487.278,0.8001
6,1,6,11.216,14,1085.77,1.3529,51.6411,1468.962,0.8104
7,1,7,11.051,13,1069.279,1.3942,52.2682,1490.781,0.7864
8,1,8,11.044,15,1068.602,1.3947,51.2301,1490.368,0.7861
9,1,9,11.046,18,1068.278,1.2796,53.3806,1367.02,0.8529
10,1,10,11.047,11,1070.446,1.2339,53.4586,1320.827,0.8794
11,1,11,11.049,14,1069.603,1.2667,52.66,1354.865,0.8604
12,1,12,11.052,11,1069.376,1.301,51.8262,1391.3,0.8405
13,1,13,11.049,15,1070.121,1.3474,50.6588,1441.838,0.8136
14,1,14,11.051,15,1068.762,1.3507,49.3608,1443.543,0.8117
15,1,15,11.053,15,1071.546,1.399,45.4167,1499.055,0.7837
16,1,16,11.054,17,1069.569,1.2601,46.719,1347.8,0.8642
17,1,17,11.055,14,1069.666,1.2289,44.7441,1314.484,0.8823
18,1,18,11.054,15,1069.569,1.2324,43.9979,1318.171,0.8803
19,1,19,11.054,15,1070.087,1.2402,44.3463,1327.141,0.8757
20,1,20,11.059,18,1070.053,1.2594,46.6866,1347.612,0.8646
21,1,21,11.057,16,1068.825,1.2893,51.0308,1378.016,0.8473
22,1,22,11.057,12,1069.86,1.3275,55.3938,1420.204,0.8251
23,1,23,11.06,14,1070.15,1.4329,55.5953,1533.45,0.764
24,1,24,11.059,15,1070.053,1.3901,61.2186,1487.484,0.7888
25,1,25,11.058,16,1068.922,1.3814,62.7403,1476.613,0.7938
26,1,26,11.058,12,1069.956,1.3301,65.7415,1423.163,0.8236
27,1,27,11.062,15,1070.343,1.4406,60.0996,1541.956,0.7595
28,1,28,11.062,14,1070.861,1.4938,56.4084,1599.627,0.7287
29,1,29,11.062,13,1069.826,1.3415,58.7781,1435.161,0.817
30,1,30,11.062,15,1069.826,1.2844,57.1776,1374.083,0.8501
31,1,31,11.062,15,1069.826,1.2806,52.516,1370.07,0.8523
32,1,32,11.063,15,1071.996,1.2843,48.1416,1376.746,0.8502
33,1,33,11.062,15,1070.343,1.2867,45.0586,1377.239,0.8488
34,1,34,11.06,19,1070.15,1.2875,43.2526,1377.814,0.8483
35,1,35,11.059,16,1070.571,1.2968,41.7607,1388.299,0.8429
36,1,36,11.057,15,1069.86,1.3077,41.4334,1399.058,0.8366
37,1,37,11.055,16,1069.666,1.3041,41.5684,1394.98,0.8387
38,1,38,11.052,16,1068.859,1.294,43.124,1383.103,0.8445
39,1,39,11.05,15,1070.218,1.3087,43.2536,1400.608,0.836
40,1,40,11.047,16,1068.892,1.3123,43.7585,1402.758,0.8339
41,1,41,11.049,19,1068.569,1.2813,43.5863,1369.117,0.8519
42,1,42,11.049,17,1070.121,1.2722,43.2876,1361.395,0.8572
43,1,43,11.052,16,1070.93,1.2763,41.2936,1366.809,0.8548
44,1,44,11.06,16,1070.15,1.2754,39.4191,1364.825,0.8554
45,1,45,11.066,21,1071.249,1.2743,37.5726,1365.105,0.856
46,1,46,11.073,15,1071.926,1.2837,36.6315,1375.988,0.8505
47,1,47,11.074,17,1073.062,1.2843,35.4048,1378.089,0.8502
48,1,48,11.075,17,1073.159,1.2772,36.7982,1370.624,0.8543
49,1,49,11.042,13,1069.961,1.2849,38.0977,1374.831,0.8498
50,1,50,11.055,16,1069.666,1.3038,39.7979,1394.592,0.8389
51,1,51,11.063,14,1070.44,1.3125,43.5751,1404.903,0.8338
52,1,52,11.075,20,1071.083,1.3288,47.5448,1423.265,0.8244
53,1,53,11.084,18,1071.953,1.3829,49.4691,1482.449,0.793
54,1,54,11.089,14,1073.475,1.4,55.3828,1502.897,0.783
55,1,55,11.1,16,1072.982,1.3804,61.5591,1481.117,0.7944
56,1,56,11.099,16,1073.924,1.3733,68.0277,1474.772,0.7986
57,1,57,11.106,17,1075.642,1.4646,67.3248,1575.364,0.7456
58,1,58,11.106,17,1075.121,1.4461,70.3012,1554.695,0.7563
59,1,59,11.108,15,1074.275,1.4402,70.02,1547.189,0.7597
60,1,60,11.109,15,1075.411,1.39,69.7844,1494.809,0.7889
61,1,61,11.104,16,1074.407,1.3478,69.793,1448.05,0.8134
62,1,62,11.106,15,1073.562,1.3612,66.26,1461.357,0.8056
63,1,63,11.102,15,1074.734,1.3738,64.6051,1476.507,0.7982
64,1,64,11.104,15,1074.927,1.3784,62.696,1481.626,0.7956
65,1,65,11.1,18,1076.103,1.3686,62.0898,1472.729,0.8013
66,1,66,11.101,15,1074.637,1.3635,61.1808,1465.305,0.8042
67,1,67,11.095,16,1075.097,1.3795,57.7889,1483.062,0.795
68,1,68,11.095,17,1074.576,1.3641,55.631,1465.811,0.8039
69,1,69,11.092,16,1075.849,1.3671,52.1842,1470.793,0.8021
70,1,70,11.089,18,1073.475,1.3844,48.2437,1486.145,0.7921
71,1,71,11.089,14,1073.475,1.3669,46.054,1467.335,0.8023
72,1,72,11.085,14,1072.05,1.3263,45.1942,1421.883,0.8258
73,1,73,11.079,16,1071.47,1.2856,44.3012,1377.531,0.8494
74,1,74,11.068,18,1071.442,1.2753,43.5757,1366.438,0.8554
75,1,75,11.067,18,1070.827,1.274,42.4196,1364.255,0.8561
76,1,76,11.063,14,1071.477,1.2816,40.4029,1373.208,0.8517
77,1,77,11.057,18,1070.896,1.2821,39.2415,1373.017,0.8514
78,1,78,11.055,15,1069.149,1.2899,38.4254,1379.066,0.8469
79,1,79,11.051,15,1069.279,1.3012,37.5356,1391.3,0.8404
80,1,80,11.045,20,1068.699,1.3122,37.8684,1402.368,0.834
81,1,81,11.044,17,1067.569,1.3452,38.1051,1436.06,0.8149
82,1,82,11.042,16,1068.925,1.3582,40.0487,1451.766,0.8073
83,1,83,11.042,14,1068.408,1.3529,42.5018,1445.443,0.8104
84,1,84,11.043,16,1068.505,1.3648,44.3962,1458.32,0.8035
85,1,85,11.043,18,1067.988,1.4,44.3892,1495.224,0.783
86,1,86,11.043,18,1070.577,1.4573,43.7101,1560.189,0.7498
87,1,87,11.045,16,1068.182,1.3291,46.7345,1419.714,0.8242
88,1,88,11.046,19,1069.313,1.2665,47.8053,1354.298,0.8605
89,1,89,11.052,13,1069.893,1.2706,45.138,1359.408,0.8581
90,1,90,11.052,18,1069.376,1.2774,43.0793,1365.967,0.8542
91,1,91,11.054,18,1069.569,1.2773,43.0589,1366.158,0.8542
92,1,92,11.052,18,1070.412,1.2884,43.912,1379.149,0.8478
93,1,93,11.053,15,1069.473,1.2862,45.7854,1375.514,0.8491
94,1,94,11.051,19,1070.833,1.3161,47.1241,1409.293,0.8317
95,1,95,11.05,17,1069.7,1.3305,49.5383,1423.26,0.8234
96,1,96,11.048,18,1070.024,1.3249,52.7034,1417.638,0.8266
97,1,97,11.048,17,1068.989,1.3727,51.9959,1467.438,0.7989
98,1,98,11.044,15,1068.602,1.3989,51.0744,1494.913,0.7837
99,1,99,11.048,20,1069.506,1.3346,52.3171,1427.413,0.821
100,1,100,11.046,13,1069.83,1.3116,51.4902,1403.141,0.8344
101,1,101,11.044,21,1069.119,1.3089,49.2486,1399.347,0.8359
102,1,102,11.042,19,1068.925,1.3199,47.0968,1410.865,0.8295
103,1,103,11.041,15,1067.795,1.3496,44.9186,1441.144,0.8123
104,1,104,11.04,19,1067.698,1.3358,43.6499,1426.231,0.8203
105,1,105,11.04,16,1068.215,1.2745,44.5305,1361.405,0.8559
106,1,106,11.039,19,1067.601,1.2733,42.7493,1359.42,0.8565
107,1,107,11.039,19,1067.086,1.2694,43.4932,1354.601,0.8588
108,1,108,11.041,15,1066.763,1.2754,43.267,1360.57,0.8553
109,1,109,11.043,22,1067.472,1.3003,43.6124,1388.023,0.8409
110,1,110,11.045,20,1067.666,1.2887,46.9942,1375.908,0.8476
111,1,111,11.048,18,1069.506,1.2911,49.8773,1380.786,0.8463
112,1,112,11.049,21,1069.603,1.2951,,1385.212,0.8439
113,1,113,11.047,22,1070.446,1.3424,56.0758,1436.946,0.8165
114,1,114,11.05,19,1070.218,1.4512,55.5718,1553.084,0.7534
115,1,115,11.05,18,1071.775,1.4781,55.0837,1584.215,0.7377
116,1,116,11.049,21,1070.121,1.4479,54.6406,1549.437,0.7553
117,1,117,11.048,20,1068.989,1.3369,55.7121,1429.1,0.8197
118,1,118,11.048,23,1072.621,1.2617,54.1122,1353.324,0.8633
119,1,119,11.047,21,1069.409,1.2675,51.431,1355.432,0.8599
120,1,120,11.048,20,1070.024,1.2682,50.1631,1357.035,0.8595
121,1,121,11.045,19,1068.182,1.2964,49.1094,1384.836,0.8431
122,1,122,11.043,20,1068.505,1.2795,52.2155,1367.11,0.853
123,1,123,11.042,20,1068.925,1.2919,55.3334,1380.978,0.8457
124,1,124,11.039,21,1069.671,1.3028,60.2885,1393.516,0.8395
125,1,125,11.039,24,1067.601,1.328,65.585,1417.745,0.8248
126,1,126,11.038,20,1070.092,1.3444,71.7428,1438.64,0.8153
127,1,127,11.041,23,1070.902,1.5397,68.1475,1648.865,0.702
128,1,128,11.042,20,1067.892,1.4126,76.4592,1508.522,0.7757
129,1,129,11.047,26,1068.892,1.33,81.1065,1421.584,0.8237
130,1,130,11.051,23,1070.833,1.3208,80.996,1414.391,0.829
131,1,131,11.055,22,1069.149,1.3461,80.5464,1439.147,0.8143
132,1,132,11.082,23,1073.317,1.363,82.3789,1462.971,0.8045
133,1,133,11.134,23,1077.31,1.3857,83.793,1492.845,0.7913
134,1,134,11.42,22,1106.589,1.4296,79.0429,1582.024,0.7659
135,1,135,11.39,22,1101.547,1.3953,84.6546,1536.953,0.7858
136,1,136,11.325,23,1097.384,1.4273,87.6497,1566.349,0.7672
137,1,137,11.47,22,1111.973,,,,
138,2,0.4,11.446,18,1107.499,,,,
139,2,1.4,11.397,15,1102.224,1.6889,90.4215,1861.582,0.6155
140,2,2.4,11.357,19,1098.887,1.6783,96.1799,1844.236,0.6216
141,2,3.4,11.354,18,1099.129,1.6244,97.2373,1785.371,0.6529
142,2,4.4,11.16,17,1078.782,1.6579,100.9497,1788.522,0.6335
143,2,5.4,11.098,17,1075.909,1.5189,106.3999,1634.201,0.7141
144,2,6.4,11.087,14,1072.762,1.5577,94.6723,1671.073,0.6916
145,2,7.4,11.056,18,1071.837,1.5421,84.8498,1652.867,0.7006
146,2,8.4,11.046,18,1070.868,1.331,85.1462,1425.329,0.8231
147,2,9.4,11.049,19,1069.086,1.2965,77.1736,1386.084,0.8431
148,2,10.4,11.05,18,1069.7,1.2897,70.9454,1379.633,0.847
149,2,11.4,11.052,21,1069.893,1.3045,66.5427,1395.655,0.8385
150,2,12.4,11.055,20,1069.666,1.3152,64.7703,1406.856,0.8322
151,2,13.4,11.056,20,1079.688,1.3294,64.6443,1435.37,0.824
152,2,14.4,11.057,22,1070.377,1.3401,64.6931,1434.361,0.8178
153,2,15.4,11.057,19,1070.896,1.3747,62.5013,1472.118,0.7978
154,2,16.4,11.058,19,1070.474,1.3698,61.5777,1466.32,0.8006
155,2,17.4,11.061,19,1071.283,1.2919,62.8472,1383.956,0.8458
156,2,18.4,11.058,21,1069.956,1.2868,61.3377,1376.855,0.8487
157,2,19.4,11.057,20,1069.86,1.3019,,1392.848,0.84
158,2,20.4,11.059,18,1069.536,1.3089,62.0603,1399.938,0.8359
159,2,21.4,11.058,19,1070.474,1.3397,64.1137,1434.162,0.818
160,2,22.4,11.059,17,1069.536,1.3454,67.2781,1438.948,0.8147
161,2,23.4,11.059,17,1070.571,1.3512,70.9975,1446.544,0.8114
162,2,24.4,11.058,18,1071.512,1.5337,63.5734,1643.392,0.7055
163,2,25.4,11.059,18,1071.609,1.4116,68.5064,1512.701,0.7763
164,2,26.4,11.06,21,1070.15,1.2818,71.2028,1371.688,0.8516
165,2,27.4,11.064,18,1071.574,1.2669,66.4745,1357.603,0.8603
166,2,28.4,11.063,20,1071.996,1.269,61.5115,1360.346,0.8591
167,2,29.4,11.066,20,1072.287,1.2884,58.1397,1381.547,0.8478
168,2,30.4,11.071,16,1072.771,1.3051,56.1389,1400.119,0.8381
169,2,31.4,11.073,22,1071.408,1.3215,56.5818,1415.873,0.8286
170,2,32.4,11.072,22,1073.388,1.3196,57.8463,1416.453,0.8297
171,2,33.4,11.072,20,1071.311,1.3266,58.1232,1421.19,0.8256
172,2,34.4,11.072,18,1071.83,1.3308,60.2555,1426.423,0.8232
173,2,35.4,11.073,20,1071.408,1.3409,62.0871,1436.652,0.8173
174,2,36.4,11.071,20,1073.812,1.3252,65.1812,1423.055,0.8264
175,2,37.4,11.07,21,1070.6,1.3355,68.1623,1429.797,0.8205
176,2,38.4,11.071,21,1071.214,1.3343,71.6758,1429.298,0.8212
177,2,39.4,11.066,17,1071.249,1.5051,65.6768,1612.293,0.7221
178,2,40.4,11.065,21,1071.152,1.6196,60.5716,1734.815,0.6557
179,2,41.4,11.063,16,1070.958,1.3279,71.589,1422.075,0.8249
180,2,42.4,11.066,15,1071.768,1.2945,70.3928,1387.427,0.8442
181,2,43.4,11.066,20,1072.807,1.2952,67.9688,1389.545,0.8438
182,2,44.4,11.075,19,1070.566,1.3023,68.0351,1394.213,0.8397
183,2,45.4,11.076,18,1071.18,1.3177,68.3943,1411.459,0.8308
184,2,46.4,11.082,23,1071.76,1.3691,69.0944,1467.338,0.801
185,2,47.4,11.085,21,1073.608,1.3744,73.2468,1475.587,0.7979
186,2,48.4,11.085,19,1072.05,1.389,78.0131,1489.029,0.7895
187,2,49.4,11.065,21,1070.634,1.4299,81.0309,1530.907,0.7657
188,2,50.4,11.058,22,1072.551,1.5072,82.1488,1616.539,0.7209
189,2,51.4,11.065,17,1071.152,1.5006,85.4486,1607.392,0.7247
190,2,52.4,11.078,19,1071.892,1.4154,89.7443,1517.206,0.7741
191,2,53.4,11.09,19,1072.534,1.4261,86.6478,1529.532,0.7679
192,2,54.4,11.099,15,1075.484,1.3889,85.4532,1493.774,0.7895
193,2,55.4,11.102,19,1075.775,1.3731,84.1447,1477.12,0.7987
194,2,56.4,11.111,17,1076.126,1.4309,80.0251,1539.825,0.7651
195,2,57.4,11.114,19,1073.816,1.4583,77.9394,1565.918,0.7493
196,2,58.4,11.117,18,1076.186,1.4676,76.3465,1579.4,0.7439
197,2,59.4,11.12,18,1076.476,1.4806,72.5288,1593.884,0.7363
198,2,60.4,11.121,19,1075.532,1.3504,76.6861,1452.373,0.8118
199,2,61.4,11.119,16,1076.379,1.319,75.6645,1419.708,0.8301
200,2,62.4,11.121,22,1077.616,1.2989,75.621,1399.729,0.8417
201,2,63.4,11.119,22,1075.859,1.2997,76.7868,1398.281,0.8412
202,2,64.4,11.117,12,1076.186,1.3727,77.7349,1477.325,0.7989
203,2,65.4,11.116,15,1075.568,1.4989,77.8221,1612.183,0.7257
204,2,66.4,11.115,12,1075.472,1.4869,86.6793,1599.075,0.7327
