SB_DEPTH_cm,SECT_NUM_cm,SECT_DEPTH_cm,CORE_THICK_cm,PWAmp,PWVel_m/s,Den_gm/cc,MS,Imp,FP
676,6,28.8,11.056,16,1071.318,1.259,62.7247,1348.817,0.8648
677,6,29.8,11.058,9,1069.956,1.2506,58.1664,1338.048,0.8697
678,6,30.8,11.058,7,1070.474,1.2448,55.9487,1332.535,0.8731
679,6,31.8,11.058,12,1069.956,1.2403,54.9046,1327.056,0.8757
680,6,32.8,11.06,11,1070.15,1.2409,54.2247,1327.985,0.8753
681,6,33.8,11.061,12,1069.729,1.2265,54.8492,1312.009,0.8837
682,6,34.8,11.061,9,1071.283,1.2445,54.678,1333.18,0.8733
683,6,35.8,11.059,12,1070.571,1.2506,55.0555,1338.882,0.8697
684,6,36.8,11.058,11,1070.474,1.2499,56.3415,1337.947,0.8701
685,6,37.8,11.06,12,1070.668,1.2446,59.0372,1332.535,0.8732
686,6,38.8,11.059,12,1071.609,1.2384,62.4685,1327.127,0.8768
687,6,39.8,11.056,8,1071.837,1.2501,66.8891,1339.893,0.87
688,6,40.8,11.058,15,1069.956,1.2546,73.3999,1342.354,0.8674
689,6,41.8,11.06,14,1068.599,1.2484,83.6374,1334.056,0.871
690,6,42.8,11.063,7,1069.923,1.2866,89.5015,1376.573,0.8488
691,6,43.8,11.066,7,1070.731,1.2857,97.3023,1376.664,0.8493
692,6,44.8,11.073,11,1072.965,1.1274,110.081,1209.688,0.9412
693,6,45.8,11.08,15,1071.049,1.2812,88.8842,1372.272,0.8519
694,6,46.8,11.089,15,1069.85,1.2802,79.1564,1369.624,0.8526
695,6,47.8,11.099,17,1071.332,1.281,71.7309,1372.386,0.8521
696,6,48.8,11.1,19,1071.429,1.283,66.2294,1374.681,0.8509
697,6,49.8,11.059,16,1067.986,1.2833,64.5041,1370.565,0.8507
698,6,50.8,11.058,18,1068.406,1.2813,62.207,1368.937,0.8519
699,6,51.8,11.065,19,1068.566,1.2675,62.1604,1354.425,0.8599
700,6,52.8,11.067,16,1068.759,1.2638,62.3133,1350.652,0.8621
701,6,53.8,11.074,13,1068.919,1.2688,61.9548,1356.228,0.8592
702,6,54.8,11.079,15,1067.855,1.2698,61.2195,1355.968,0.8586
703,6,55.8,11.081,16,1069.595,1.2667,62.5504,1354.905,0.8604
704,6,56.8,11.089,16,1070.884,1.2593,62.7904,1348.58,0.8647
705,6,57.8,11.084,16,1068.852,1.2703,62.9328,1357.756,0.8583
706,6,58.8,11.091,19,1070.56,1.2697,64.6638,1359.257,0.8587
707,6,59.8,11.09,19,1070.463,1.2737,65.6817,1363.431,0.8563
708,6,60.8,11.093,17,1070.236,1.2634,68.5915,1352.175,0.8623
709,6,61.8,11.091,15,1070.56,1.267,70.8552,1356.417,0.8602
710,6,62.8,11.102,11,1071.622,1.2771,73.0934,1368.569,0.8543
711,6,63.8,11.097,15,1068.046,1.2929,74.664,1380.858,0.8452
712,6,64.8,11.103,18,1072.236,1.3811,69.2313,1480.916,0.794
713,6,65.8,11.1,24,1072.464,1.3621,66.8789,1460.854,0.805
714,6,66.8,11.101,30,1075.678,0.9633,87.3928,1036.226,1.0364
715,6,67.8,11.105,28,1075.545,0.9541,80.1311,1026.212,1.0417
716,6,68.8,11.102,29,1074.734,0.9595,74.1605,1031.229,1.0386
717,6,69.8,11.108,29,1076.878,0.9478,71.74,1020.638,1.0454
718,6,70.8,11.103,29,1075.351,0.9543,70.5388,1026.212,1.0416
719,6,71.8,11.106,27,1076.163,0.9572,70.273,1030.08,1.0399
