SB_DEPTH_cm,SECT_NUM_cm,SECT_DEPTH_cm,CORE_THICK_cm,PWAmp,PWVel_m/s,Den_gm/cc,MS,Imp,FP
1,1,1,11.396,14,,,,,
2,1,2,11.391,7,1101.644,1.1747,,,0.9137
3,1,3,11.37,13,1100.145,1.1622,15.997,1278.627,0.921
4,1,4,11.151,13,1078.433,1.1762,18.6297,1268.506,0.9128
5,1,5,11.103,16,1073.791,1.1682,18.9888,1254.45,0.9175
6,1,6,11.089,20,1072.437,1.1823,19.4794,1267.97,0.9093
7,1,7,11.09,18,1073.053,1.1867,19.4022,1273.418,0.9068
8,1,8,11.09,17,1073.053,1.168,20.371,1253.285,0.9177
9,1,9,11.091,18,1072.63,1.1631,21.1109,1247.557,0.9205
10,1,10,11.092,16,1073.246,1.1702,21.6322,1255.943,0.9163
11,1,11,11.094,18,1071.884,1.157,22.5304,1240.198,0.924
12,1,12,11.096,19,1073.633,1.1678,23.623,1253.817,0.9177
13,1,13,11.097,15,1074.25,1.1831,23.9588,1270.987,0.9089
14,1,14,11.099,19,1073.404,1.2103,24.6735,1299.194,0.8931
15,1,15,11.101,19,1072.56,1.2105,25.923,1298.303,0.893
16,1,16,11.099,16,1072.885,1.2105,27.2003,1298.749,0.893
17,1,17,11.101,16,1072.042,1.2137,27.7457,1301.14,0.8911
18,1,18,11.104,21,1073.369,1.1951,28.7956,1282.793,0.9019
19,1,19,11.104,16,1073.369,1.2163,29.5522,1305.507,0.8896
20,1,20,11.101,19,1073.598,1.2364,29.0945,1327.343,0.878
21,1,21,11.102,18,1072.139,1.225,29.9801,1313.416,0.8845
22,1,22,11.102,19,1071.622,1.2244,31.2468,1312.047,0.8849
23,1,23,11.101,17,1072.56,1.23,32.3568,1319.213,0.8817
24,1,24,11.098,19,1072.271,1.2306,34.231,1319.582,0.8813
25,1,25,11.087,15,1071.208,1.2362,31.0672,1324.207,0.8781
26,1,26,11.097,19,1072.174,1.253,36.6867,1343.406,0.8683
27,1,27,11.096,15,1072.077,1.2657,38.7478,1356.971,0.8609
28,1,28,11.093,18,1071.787,1.3411,38.8864,1437.358,0.8172
29,1,29,11.094,18,1072.921,1.2805,43.1103,1373.892,0.8524
30,1,30,11.092,17,1072.727,1.2336,46.0184,1323.264,0.8796
31,1,31,11.091,18,1072.112,1.2228,48.3163,1311.008,0.8858
32,1,32,11.091,18,1072.112,1.2136,49.948,1301.12,0.8912
33,1,33,11.092,19,1071.173,1.2222,51.4668,1309.191,0.8862
34,1,34,11.092,16,1069.108,1.2372,52.0838,1322.68,0.8775
35,1,35,11.093,21,1072.824,1.2331,52.865,1322.893,0.8799
36,1,36,11.095,16,1072.499,1.2944,48.5597,1388.216,0.8443
37,1,37,11.096,9,1074.153,1.3038,45.2565,1400.514,0.8388
38,1,38,11.099,19,1072.367,1.2589,43.795,1349.985,0.8649
39,1,39,11.1,16,1072.982,1.2607,40.6844,1352.712,0.8639
40,1,40,11.102,19,1073.694,1.2375,38.9544,1328.643,0.8773
41,1,41,11.103,19,1073.272,1.2162,38.3667,1305.323,0.8897
42,1,42,11.106,17,1073.043,1.203,36.2172,1290.852,0.8973
43,1,43,11.105,19,1072.429,1.1995,35.0555,1286.427,0.8993
44,1,44,11.104,15,1073.369,1.2032,33.6868,1291.476,0.8972
45,1,45,11.104,20,1072.332,1.1909,33.3921,1277.055,0.9043
46,1,46,11.108,19,1074.275,1.1845,32.8945,1272.444,0.9081
